AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
59,"[20, 14, 42, 42, 30, 28, 36, 25]",ga_gen_100.csv:gen96,441,363,22,452.0
60,"[30, 21, 32, 29, 28, 28, 41, 26]",ga_gen_100.csv:gen98,366,451,9,370.5
61,"[4, 10, 3, 48, 24, 14, 42, 48]",ga_gen_100.csv:gen99,434,371,21,444.5
62,"[11, 14, 49, 29, 16, 44, 32, 7]",ga_gen_200.csv:gen0,485,335,6,488.0
63,"[23, 29, 33, 15, 30, 20, 16, 13]",ga_gen_200.csv:gen2,493,328,5,495.5
64,"[6, 26, 38, 17, 27, 47, 47, 26]",ga_gen_200.csv:gen4,126,688,12,132.0
65,"[16, 33, 48, 27, 29, 13, 37, 22]",ga_gen_200.csv:gen6,337,486,3,338.5
66,"[21, 36, 31, 26, 16, 20, 43, 23]",ga_gen_200.csv:gen8,309,512,5,311.5
67,"[8, 29, 6, 41, 34, 33, 30, 38]",ga_gen_200.csv:gen10,397,403,26,410.0
68,"[28, 48, 46, 7, 29, 15, 27, 24]",ga_gen_200.csv:gen12,473,343,10,478.0
69,"[2, 34, 1, 10, 42, 27, 42, 41]",ga_gen_200.csv:gen14,421,350,55,448.5
70,"[40, 32, 24, 12, 23, 22, 38, 38]",ga_gen_200.csv:gen16,357,464,5,359.5
71,"[32, 29, 19, 13, 24, 21, 33, 32]",ga_gen_200.csv:gen18,420,403,3,421.5
72,"[17, 22, 15, 25, 15, 41, 39, 35]",ga_gen_200.csv:gen20,314,489,23,325.5
73,"[22, 35, 16, 17, 10, 27, 34, 25]",ga_gen_200.csv:gen22,274,546,6,277.0
74,"[24, 32, 17, 16, 16, 29, 33, 24]",ga_gen_200.csv:gen24,345,469,12,351.0
75,"[35, 15, 50, 23, 26, 0, 29, 15]",ga_gen_200.csv:gen26,459,364,3,460.5
76,"[49, 0, 14, 26, 11, 30, 19, 50]",ga_gen_200.csv:gen28,442,372,12,448.0
77,"[22, 34, 15, 24, 30, 24, 23, 18]",ga_gen_200.csv:gen30,321,490,15,328.5
78,"[22, 34, 15, 24, 30, 24, 23, 18]",ga_gen_200.csv:gen32,321,490,15,328.5
79,"[36, 15, 21, 25, 24, 29, 19, 23]",ga_gen_200.csv:gen34,451,360,15,458.5
80,"[26, 34, 13, 30, 29, 25, 44, 20]",ga_gen_200.csv:gen36,397,413,16,405.0
81,"[44, 13, 26, 32, 9, 26, 28, 7]",ga_gen_200.csv:gen38,501,319,6,504.0
82,"[47, 35, 47, 28, 27, 23, 49, 28]",ga_gen_200.csv:gen40,465,355,6,468.0
83,"[48, 26, 32, 27, 20, 11, 36, 35]",ga_gen_200.csv:gen42,466,351,9,470.5
84,"[19, 9, 33, 31, 26, 18, 30, 14]",ga_gen_200.csv:gen44,608,216,2,609.0
85,"[19, 9, 33, 31, 26, 18, 30, 14]",ga_gen_200.csv:gen46,608,216,2,609.0
86,"[32, 22, 13, 36, 41, 26, 16, 37]",ga_gen_200.csv:gen48,343,461,22,354.0
87,"[30, 19, 17, 34, 32, 27, 19, 35]",ga_gen_200.csv:gen50,384,437,5,386.5
88,"[13, 21, 33, 5, 21, 3, 47, 49]",ga_gen_200.csv:gen52,443,377,6,446.0
89,"[39, 39, 20, 19, 24, 26, 48, 30]",ga_gen_200.csv:gen54,295,525,6,298.0
90,"[30, 36, 16, 23, 28, 19, 30, 20]",ga_gen_200.csv:gen56,435,389,2,436.0
91,"[12, 14, 43, 39, 24, 40, 42, 7]",ga_gen_200.csv:gen58,435,386,5,437.5
92,"[26, 17, 35, 29, 20, 10, 49, 10]",ga_gen_200.csv:gen60,496,325,5,498.5
93,"[21, 35, 18, 16, 20, 11, 22, 20]",ga_gen_200.csv:gen62,408,416,2,409.0
94,"[26, 7, 45, 35, 17, 41, 43, 22]",ga_gen_200.csv:gen64,526,295,5,528.5
95,"[26, 7, 45, 35, 17, 41, 43, 22]",ga_gen_200.csv:gen66,526,295,5,528.5
96,"[26, 8, 44, 35, 17, 41, 43, 22]",ga_gen_200.csv:gen68,563,260,3,564.5
