AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
258,"[6, 44, 28, 0, 29, 9, 5, 18]",ga_gen_500.csv:gen190,479,312,35,496.5
259,"[46, 50, 28, 1, 27, 25, 39, 22]",ga_gen_500.csv:gen192,445,376,5,447.5
260,"[34, 28, 1, 49, 16, 2, 31, 41]",ga_gen_500.csv:gen194,524,289,13,530.5
261,"[34, 28, 1, 49, 16, 2, 31, 41]",ga_gen_500.csv:gen196,524,289,13,530.5
262,"[0, 12, 11, 13, 27, 43, 20, 8]",ga_gen_500.csv:gen198,364,423,39,383.5
263,"[30, 49, 26, 19, 12, 6, 37, 21]",ga_gen_500.csv:gen200,439,323,64,471.0
264,"[43, 29, 16, 41, 21, 23, 16, 19]",ga_gen_500.csv:gen202,409,414,3,410.5
265,"[25, 17, 35, 28, 15, 26, 28, 45]",ga_gen_500.csv:gen204,329,470,27,342.5
266,"[10, 18, 28, 32, 22, 48, 14, 44]",ga_gen_500.csv:gen206,444,376,6,447.0
267,"[23, 22, 43, 27, 28, 13, 24, 14]",ga_gen_500.csv:gen208,359,460,7,362.5
268,"[0, 12, 17, 50, 43, 24, 33, 39]",ga_gen_500.csv:gen210,544,275,7,547.5
269,"[3, 13, 19, 46, 40, 24, 32, 38]",ga_gen_500.csv:gen212,526,292,8,530.0
270,"[14, 2, 34, 31, 3, 38, 29, 34]",ga_gen_500.csv:gen214,533,287,6,536.0
271,"[12, 17, 2, 40, 27, 42, 27, 47]",ga_gen_500.csv:gen216,346,450,30,361.0
272,"[49, 7, 21, 20, 11, 34, 25, 13]",ga_gen_500.csv:gen218,373,436,17,381.5
273,"[24, 21, 20, 12, 17, 29, 25, 29]",ga_gen_500.csv:gen220,244,571,11,249.5
274,"[43, 12, 37, 11, 25, 35, 4, 17]",ga_gen_500.csv:gen222,498,319,9,502.5
275,"[22, 28, 23, 27, 38, 19, 24, 30]",ga_gen_500.csv:gen224,281,538,7,284.5
276,"[31, 31, 29, 37, 6, 35, 43, 39]",ga_gen_500.csv:gen226,361,450,15,368.5
277,"[31, 12, 45, 37, 31, 39, 41, 21]",ga_gen_500.csv:gen228,529,293,4,531.0
278,"[31, 12, 44, 37, 31, 39, 41, 21]",ga_gen_500.csv:gen230,528,293,5,530.5
279,"[12, 9, 6, 36, 19, 1, 27, 45]",ga_gen_500.csv:gen232,416,355,55,443.5
280,"[19, 33, 17, 39, 30, 30, 27, 25]",ga_gen_500.csv:gen234,320,484,22,331.0
281,"[18, 23, 20, 39, 1, 19, 6, 44]",ga_gen_500.csv:gen236,400,417,9,404.5
282,"[14, 21, 34, 35, 24, 45, 36, 13]",ga_gen_500.csv:gen238,390,433,3,391.5
283,"[12, 27, 43, 15, 38, 23, 23, 23]",ga_gen_500.csv:gen240,408,400,18,417.0
284,"[16, 1, 7, 38, 22, 0, 13, 36]",ga_gen_500.csv:gen242,454,346,26,467.0
285,"[26, 29, 33, 25, 32, 34, 41, 36]",ga_gen_500.csv:gen244,328,496,2,329.0
286,"[15, 4, 42, 35, 17, 17, 18, 33]",ga_gen_500.csv:gen246,345,442,39,364.5
287,"[35, 4, 24, 17, 26, 25, 29, 26]",ga_gen_500.csv:gen248,422,397,7,425.5
288,"[24, 18, 16, 25, 15, 18, 20, 25]",ga_gen_500.csv:gen250,341,482,3,342.5
289,"[32, 31, 5, 49, 36, 37, 36, 18]",ga_gen_500.csv:gen252,363,447,16,371.0
290,"[11, 28, 34, 21, 4, 44, 47, 38]",ga_gen_500.csv:gen254,364,454,8,368.0
291,"[33, 10, 31, 32, 24, 26, 24, 38]",ga_gen_500.csv:gen256,381,428,17,389.5
292,"[20, 29, 15, 25, 24, 23, 18, 27]",ga_gen_500.csv:gen258,299,518,9,303.5
293,"[20, 29, 15, 25, 24, 23, 18, 27]",ga_gen_500.csv:gen260,299,518,9,303.5
294,"[15, 45, 26, 13, 29, 21, 5, 41]",ga_gen_500.csv:gen262,454,364,8,458.0
295,"[38, 37, 24, 23, 33, 14, 20, 14]",ga_gen_500.csv:gen264,342,482,2,343.0
296,"[37, 15, 5, 25, 22, 3, 34, 26]",ga_gen_500.csv:gen266,367,457,2,368.0
297,"[23, 32, 35, 39, 26, 31, 20, 39]",ga_gen_500.csv:gen268,344,477,5,346.5
298,"[43, 33, 17, 25, 24, 42, 31, 41]",ga_gen_500.csv:gen270,332,480,14,339.0
299,"[19, 24, 0, 12, 11, 22, 29, 15]",ga_gen_500.csv:gen272,474,327,25,486.5
300,"[11, 12, 26, 48, 23, 42, 37, 42]",ga_gen_500.csv:gen274,365,436,25,377.5
301,"[40, 19, 45, 32, 30, 42, 44, 22]",ga_gen_500.csv:gen276,527,297,2,528.0
302,"[31, 31, 22, 44, 27, 34, 19, 38]",ga_gen_500.csv:gen278,348,470,8,352.0
303,"[33, 9, 31, 21, 22, 19, 32, 26]",ga_gen_500.csv:gen280,452,368,6,455.0
304,"[17, 34, 30, 28, 47, 13, 35, 34]",ga_gen_500.csv:gen282,328,483,15,335.5
305,"[13, 34, 31, 46, 34, 25, 32, 41]",ga_gen_500.csv:gen284,501,320,5,503.5
306,"[4, 36, 20, 17, 29, 27, 22, 26]",ga_gen_500.csv:gen286,303,516,7,306.5
307,"[2, 0, 22, 19, 17, 28, 29, 17]",ga_gen_500.csv:gen288,413,402,11,418.5
308,"[38, 16, 28, 24, 23, 14, 37, 16]",ga_gen_500.csv:gen290,412,413,1,412.5
309,"[5, 22, 4, 39, 22, 20, 27, 34]",ga_gen_500.csv:gen292,496,314,16,504.0
310,"[6, 24, 6, 39, 26, 17, 27, 28]",ga_gen_500.csv:gen294,542,269,15,549.5
311,"[28, 21, 14, 50, 50, 31, 28, 37]",ga_gen_500.csv:gen296,435,381,10,440.0
312,"[29, 31, 21, 42, 14, 5, 2, 28]",ga_gen_500.csv:gen298,349,475,2,350.0
313,"[3, 1, 23, 9, 3, 14, 22, 36]",ga_gen_500.csv:gen300,419,386,21,429.5
314,"[38, 5, 17, 7, 49, 39, 35, 33]",ga_gen_500.csv:gen302,376,438,12,382.0
315,"[40, 18, 14, 26, 20, 36, 25, 33]",ga_gen_500.csv:gen304,328,480,18,337.0
316,"[20, 27, 24, 26, 25, 23, 30, 34]",ga_gen_500.csv:gen306,310,510,6,313.0
317,"[20, 27, 24, 26, 25, 23, 30, 34]",ga_gen_500.csv:gen308,310,510,6,313.0
318,"[21, 25, 0, 7, 19, 33, 33, 21]",ga_gen_500.csv:gen310,350,464,12,356.0
319,"[22, 2, 15, 20, 23, 45, 30, 14]",ga_gen_500.csv:gen312,470,344,12,476.0
320,"[44, 35, 11, 30, 48, 15, 14, 34]",ga_gen_500.csv:gen314,366,447,13,372.5
321,"[26, 27, 20, 31, 22, 19, 20, 18]",ga_gen_500.csv:gen316,263,555,8,267.0
322,"[13, 10, 22, 13, 24, 5, 34, 31]",ga_gen_500.csv:gen318,360,446,20,370.0
323,"[20, 25, 20, 18, 19, 44, 31, 13]",ga_gen_500.csv:gen320,401,421,4,403.0
324,"[21, 39, 42, 47, 5, 40, 43, 25]",ga_gen_500.csv:gen322,312,511,3,313.5
325,"[13, 27, 32, 17, 1, 32, 42, 16]",ga_gen_500.csv:gen324,451,363,12,457.0
326,"[16, 19, 11, 26, 17, 36, 35, 18]",ga_gen_500.csv:gen326,304,509,13,310.5
327,"[21, 11, 37, 37, 11, 7, 40, 42]",ga_gen_500.csv:gen328,336,481,9,340.5
328,"[17, 49, 18, 20, 34, 11, 27, 21]",ga_gen_500.csv:gen330,362,457,7,365.5
329,"[26, 5, 6, 37, 42, 40, 40, 50]",ga_gen_500.csv:gen332,427,375,24,439.0
330,"[26, 5, 6, 37, 42, 40, 40, 50]",ga_gen_500.csv:gen334,427,375,24,439.0
331,"[34, 29, 26, 21, 47, 36, 17, 32]",ga_gen_500.csv:gen336,377,428,21,387.5
332,"[25, 25, 25, 44, 27, 37, 33, 36]",ga_gen_500.csv:gen338,368,452,6,371.0
333,"[25, 25, 25, 44, 27, 37, 33, 36]",ga_gen_500.csv:gen340,368,452,6,371.0
334,"[8, 32, 41, 30, 24, 34, 35, 42]",ga_gen_500.csv:gen342,357,460,9,361.5
335,"[30, 3, 7, 40, 32, 18, 36, 48]",ga_gen_500.csv:gen344,385,408,33,401.5
336,"[39, 47, 14, 29, 35, 38, 19, 31]",ga_gen_500.csv:gen346,312,504,10,317.0
337,"[34, 19, 8, 25, 30, 38, 37, 20]",ga_gen_500.csv:gen348,307,501,18,316.0
338,"[38, 5, 20, 29, 48, 36, 24, 36]",ga_gen_500.csv:gen350,462,358,6,465.0
339,"[35, 17, 31, 26, 30, 27, 36, 19]",ga_gen_500.csv:gen352,492,325,9,496.5
340,"[1, 47, 48, 12, 17, 2, 12, 42]",ga_gen_500.csv:gen354,394,429,3,395.5
341,"[9, 5, 10, 36, 24, 24, 43, 44]",ga_gen_500.csv:gen356,450,350,26,463.0
342,"[0, 11, 29, 40, 19, 32, 13, 37]",ga_gen_500.csv:gen358,430,390,6,433.0
343,"[23, 2, 11, 25, 26, 20, 44, 41]",ga_gen_500.csv:gen360,447,354,25,459.5
344,"[38, 9, 46, 40, 40, 32, 38, 47]",ga_gen_500.csv:gen362,307,508,11,312.5
345,"[46, 11, 44, 17, 4, 22, 21, 38]",ga_gen_500.csv:gen364,487,332,7,490.5
346,"[42, 11, 3, 18, 14, 21, 14, 27]",ga_gen_500.csv:gen366,542,271,13,548.5
347,"[42, 11, 3, 18, 14, 21, 14, 27]",ga_gen_500.csv:gen368,542,271,13,548.5
348,"[42, 11, 3, 18, 14, 21, 14, 27]",ga_gen_500.csv:gen370,542,271,13,548.5
349,"[21, 16, 22, 24, 11, 28, 35, 21]",ga_gen_500.csv:gen372,391,431,4,393.0
350,"[33, 1, 14, 37, 20, 5, 27, 47]",ga_gen_500.csv:gen374,492,295,39,511.5
351,"[4, 7, 45, 27, 23, 13, 28, 20]",ga_gen_500.csv:gen376,452,370,4,454.0
352,"[12, 28, 40, 19, 22, 14, 33, 10]",ga_gen_500.csv:gen378,485,336,5,487.5
353,"[34, 28, 20, 30, 25, 28, 22, 16]",ga_gen_500.csv:gen380,277,540,9,281.5
354,"[39, 41, 31, 16, 13, 38, 48, 4]",ga_gen_500.csv:gen382,427,393,6,430.0
355,"[41, 14, 18, 27, 9, 43, 49, 39]",ga_gen_500.csv:gen384,557,250,19,566.5
356,"[15, 41, 25, 34, 50, 32, 48, 32]",ga_gen_500.csv:gen386,435,369,22,446.0
357,"[31, 38, 5, 8, 18, 44, 8, 45]",ga_gen_500.csv:gen388,302,510,14,309.0
358,"[29, 14, 28, 28, 17, 36, 22, 16]",ga_gen_500.csv:gen390,307,504,15,314.5
359,"[11, 36, 7, 12, 23, 21, 18, 8]",ga_gen_500.csv:gen392,418,403,5,420.5
360,"[18, 6, 28, 26, 13, 18, 37, 16]",ga_gen_500.csv:gen394,473,345,8,477.0
361,"[18, 6, 28, 26, 13, 18, 37, 16]",ga_gen_500.csv:gen396,473,345,8,477.0
362,"[31, 28, 16, 36, 37, 48, 36, 19]",ga_gen_500.csv:gen398,287,531,8,291.0
363,"[39, 7, 25, 15, 29, 18, 25, 13]",ga_gen_500.csv:gen400,386,434,6,389.0
364,"[16, 3, 31, 17, 9, 8, 30, 21]",ga_gen_500.csv:gen402,595,221,10,600.0
365,"[16, 3, 31, 17, 9, 8, 30, 21]",ga_gen_500.csv:gen404,595,221,10,600.0
366,"[23, 28, 18, 37, 5, 33, 30, 35]",ga_gen_500.csv:gen406,322,490,14,329.0
367,"[30, 39, 24, 20, 23, 30, 29, 32]",ga_gen_500.csv:gen408,296,526,4,298.0
368,"[36, 41, 36, 31, 31, 33, 23, 20]",ga_gen_500.csv:gen410,353,464,9,357.5
369,"[37, 34, 26, 27, 41, 28, 27, 29]",ga_gen_500.csv:gen412,428,391,7,431.5
370,"[25, 35, 35, 20, 17, 44, 46, 16]",ga_gen_500.csv:gen414,378,444,4,380.0
371,"[43, 19, 44, 39, 23, 16, 19, 21]",ga_gen_500.csv:gen416,460,360,6,463.0
372,"[4, 0, 39, 19, 28, 46, 29, 46]",ga_gen_500.csv:gen418,452,354,20,462.0
373,"[39, 32, 25, 24, 23, 24, 38, 12]",ga_gen_500.csv:gen420,392,431,3,393.5
374,"[40, 43, 13, 0, 16, 47, 34, 27]",ga_gen_500.csv:gen422,448,371,7,451.5
375,"[13, 6, 45, 16, 41, 35, 11, 32]",ga_gen_500.csv:gen424,347,446,33,363.5
376,"[45, 5, 2, 41, 16, 27, 7, 25]",ga_gen_500.csv:gen426,410,402,14,417.0
377,"[21, 11, 26, 15, 19, 45, 28, 23]",ga_gen_500.csv:gen428,396,419,11,401.5
378,"[27, 24, 16, 19, 12, 32, 31, 36]",ga_gen_500.csv:gen430,255,551,20,265.0
379,"[45, 16, 21, 9, 12, 18, 48, 25]",ga_gen_500.csv:gen432,477,336,13,483.5
380,"[12, 17, 29, 11, 15, 8, 10, 25]",ga_gen_500.csv:gen434,426,396,4,428.0
381,"[5, 32, 18, 5, 11, 16, 25, 21]",ga_gen_500.csv:gen436,213,604,9,217.5
382,"[32, 27, 40, 21, 23, 21, 22, 27]",ga_gen_500.csv:gen438,420,395,11,425.5
383,"[24, 38, 13, 46, 41, 20, 28, 39]",ga_gen_500.csv:gen440,428,383,15,435.5
384,"[42, 13, 17, 41, 34, 35, 32, 50]",ga_gen_500.csv:gen442,421,387,18,430.0
385,"[35, 29, 17, 31, 28, 22, 35, 29]",ga_gen_500.csv:gen444,412,409,5,414.5
386,"[13, 31, 1, 34, 32, 8, 32, 33]",ga_gen_500.csv:gen446,452,345,29,466.5
387,"[21, 23, 17, 35, 36, 18, 42, 31]",ga_gen_500.csv:gen448,392,407,27,405.5
388,"[18, 3, 48, 33, 17, 45, 35, 7]",ga_gen_500.csv:gen450,426,368,32,442.0
389,"[41, 15, 16, 26, 28, 26, 32, 32]",ga_gen_500.csv:gen452,417,401,8,421.0
390,"[9, 31, 22, 25, 20, 36, 40, 4]",ga_gen_500.csv:gen454,480,340,6,483.0
391,"[41, 24, 29, 23, 48, 3, 45, 40]",ga_gen_500.csv:gen456,341,477,8,345.0
392,"[32, 7, 35, 19, 15, 22, 26, 7]",ga_gen_500.csv:gen458,538,284,4,540.0
393,"[32, 13, 47, 13, 13, 4, 39, 14]",ga_gen_500.csv:gen460,469,352,5,471.5
394,"[1, 3, 31, 24, 17, 5, 19, 22]",ga_gen_500.csv:gen462,485,336,5,487.5
395,"[31, 24, 33, 17, 26, 16, 36, 24]",ga_gen_500.csv:gen464,465,355,6,468.0
396,"[30, 31, 20, 8, 4, 15, 48, 45]",ga_gen_500.csv:gen466,404,413,9,408.5
397,"[17, 22, 19, 7, 48, 21, 6, 15]",ga_gen_500.csv:gen468,399,414,13,405.5
398,"[43, 6, 44, 19, 22, 40, 42, 20]",ga_gen_500.csv:gen470,538,267,21,548.5
399,"[43, 6, 44, 19, 22, 40, 42, 20]",ga_gen_500.csv:gen472,538,267,21,548.5
400,"[9, 24, 26, 32, 28, 37, 34, 1]",ga_gen_500.csv:gen474,445,372,9,449.5
401,"[43, 47, 3, 40, 26, 0, 38, 22]",ga_gen_500.csv:gen476,374,397,55,401.5
402,"[22, 16, 14, 23, 19, 17, 28, 40]",ga_gen_500.csv:gen478,319,485,22,330.0
403,"[11, 47, 8, 1, 27, 19, 27, 24]",ga_gen_500.csv:gen480,478,332,16,486.0
404,"[38, 34, 29, 22, 3, 30, 44, 19]",ga_gen_500.csv:gen482,513,308,5,515.5
405,"[33, 29, 27, 24, 11, 32, 43, 21]",ga_gen_500.csv:gen484,508,313,5,510.5
406,"[12, 22, 25, 14, 23, 16, 9, 42]",ga_gen_500.csv:gen486,455,338,33,471.5
407,"[50, 5, 37, 6, 3, 42, 22, 4]",ga_gen_500.csv:gen488,484,335,7,487.5
408,"[17, 21, 30, 32, 23, 17, 37, 16]",ga_gen_500.csv:gen490,382,440,4,384.0
409,"[15, 17, 37, 39, 18, 31, 22, 30]",ga_gen_500.csv:gen492,332,492,2,333.0
410,"[17, 1, 16, 32, 37, 16, 37, 30]",ga_gen_500.csv:gen494,338,468,20,348.0
411,"[46, 12, 6, 42, 30, 6, 18, 35]",ga_gen_500.csv:gen496,375,426,25,387.5
412,"[47, 40, 39, 5, 30, 28, 45, 40]",ga_gen_500.csv:gen498,446,380,0,446.0
413,"[50, 20, 47, 45, 11, 34, 23, 35]",ga_gen_500.csv:gen499,447,372,7,450.5
