AI_ID,Genome,Sources
324,"[21, 39, 42, 47, 5, 40, 43, 25]",ga_gen_500.csv:gen322
325,"[13, 27, 32, 17, 1, 32, 42, 16]",ga_gen_500.csv:gen324
326,"[16, 19, 11, 26, 17, 36, 35, 18]",ga_gen_500.csv:gen326
327,"[21, 11, 37, 37, 11, 7, 40, 42]",ga_gen_500.csv:gen328
328,"[17, 49, 18, 20, 34, 11, 27, 21]",ga_gen_500.csv:gen330
329,"[26, 5, 6, 37, 42, 40, 40, 50]",ga_gen_500.csv:gen332
330,"[26, 5, 6, 37, 42, 40, 40, 50]",ga_gen_500.csv:gen334
331,"[34, 29, 26, 21, 47, 36, 17, 32]",ga_gen_500.csv:gen336
332,"[25, 25, 25, 44, 27, 37, 33, 36]",ga_gen_500.csv:gen338
333,"[25, 25, 25, 44, 27, 37, 33, 36]",ga_gen_500.csv:gen340
334,"[8, 32, 41, 30, 24, 34, 35, 42]",ga_gen_500.csv:gen342
335,"[30, 3, 7, 40, 32, 18, 36, 48]",ga_gen_500.csv:gen344
336,"[39, 47, 14, 29, 35, 38, 19, 31]",ga_gen_500.csv:gen346
337,"[34, 19, 8, 25, 30, 38, 37, 20]",ga_gen_500.csv:gen348
338,"[38, 5, 20, 29, 48, 36, 24, 36]",ga_gen_500.csv:gen350
339,"[35, 17, 31, 26, 30, 27, 36, 19]",ga_gen_500.csv:gen352
340,"[1, 47, 48, 12, 17, 2, 12, 42]",ga_gen_500.csv:gen354
341,"[9, 5, 10, 36, 24, 24, 43, 44]",ga_gen_500.csv:gen356
342,"[0, 11, 29, 40, 19, 32, 13, 37]",ga_gen_500.csv:gen358
343,"[23, 2, 11, 25, 26, 20, 44, 41]",ga_gen_500.csv:gen360
344,"[38, 9, 46, 40, 40, 32, 38, 47]",ga_gen_500.csv:gen362
345,"[46, 11, 44, 17, 4, 22, 21, 38]",ga_gen_500.csv:gen364
346,"[42, 11, 3, 18, 14, 21, 14, 27]",ga_gen_500.csv:gen366
347,"[42, 11, 3, 18, 14, 21, 14, 27]",ga_gen_500.csv:gen368
348,"[42, 11, 3, 18, 14, 21, 14, 27]",ga_gen_500.csv:gen370
349,"[21, 16, 22, 24, 11, 28, 35, 21]",ga_gen_500.csv:gen372
350,"[33, 1, 14, 37, 20, 5, 27, 47]",ga_gen_500.csv:gen374
351,"[4, 7, 45, 27, 23, 13, 28, 20]",ga_gen_500.csv:gen376
352,"[12, 28, 40, 19, 22, 14, 33, 10]",ga_gen_500.csv:gen378
353,"[34, 28, 20, 30, 25, 28, 22, 16]",ga_gen_500.csv:gen380
354,"[39, 41, 31, 16, 13, 38, 48, 4]",ga_gen_500.csv:gen382
355,"[41, 14, 18, 27, 9, 43, 49, 39]",ga_gen_500.csv:gen384
356,"[15, 41, 25, 34, 50, 32, 48, 32]",ga_gen_500.csv:gen386
357,"[31, 38, 5, 8, 18, 44, 8, 45]",ga_gen_500.csv:gen388
358,"[29, 14, 28, 28, 17, 36, 22, 16]",ga_gen_500.csv:gen390
359,"[11, 36, 7, 12, 23, 21, 18, 8]",ga_gen_500.csv:gen392
360,"[18, 6, 28, 26, 13, 18, 37, 16]",ga_gen_500.csv:gen394
361,"[18, 6, 28, 26, 13, 18, 37, 16]",ga_gen_500.csv:gen396
362,"[31, 28, 16, 36, 37, 48, 36, 19]",ga_gen_500.csv:gen398
363,"[39, 7, 25, 15, 29, 18, 25, 13]",ga_gen_500.csv:gen400
364,"[16, 3, 31, 17, 9, 8, 30, 21]",ga_gen_500.csv:gen402
365,"[16, 3, 31, 17, 9, 8, 30, 21]",ga_gen_500.csv:gen404
366,"[23, 28, 18, 37, 5, 33, 30, 35]",ga_gen_500.csv:gen406
367,"[30, 39, 24, 20, 23, 30, 29, 32]",ga_gen_500.csv:gen408
368,"[36, 41, 36, 31, 31, 33, 23, 20]",ga_gen_500.csv:gen410
369,"[37, 34, 26, 27, 41, 28, 27, 29]",ga_gen_500.csv:gen412
370,"[25, 35, 35, 20, 17, 44, 46, 16]",ga_gen_500.csv:gen414
371,"[43, 19, 44, 39, 23, 16, 19, 21]",ga_gen_500.csv:gen416
372,"[4, 0, 39, 19, 28, 46, 29, 46]",ga_gen_500.csv:gen418
373,"[39, 32, 25, 24, 23, 24, 38, 12]",ga_gen_500.csv:gen420
374,"[40, 43, 13, 0, 16, 47, 34, 27]",ga_gen_500.csv:gen422
375,"[13, 6, 45, 16, 41, 35, 11, 32]",ga_gen_500.csv:gen424
376,"[45, 5, 2, 41, 16, 27, 7, 25]",ga_gen_500.csv:gen426
377,"[21, 11, 26, 15, 19, 45, 28, 23]",ga_gen_500.csv:gen428
378,"[27, 24, 16, 19, 12, 32, 31, 36]",ga_gen_500.csv:gen430
379,"[45, 16, 21, 9, 12, 18, 48, 25]",ga_gen_500.csv:gen432
380,"[12, 17, 29, 11, 15, 8, 10, 25]",ga_gen_500.csv:gen434
381,"[5, 32, 18, 5, 11, 16, 25, 21]",ga_gen_500.csv:gen436
382,"[32, 27, 40, 21, 23, 21, 22, 27]",ga_gen_500.csv:gen438
383,"[24, 38, 13, 46, 41, 20, 28, 39]",ga_gen_500.csv:gen440
384,"[42, 13, 17, 41, 34, 35, 32, 50]",ga_gen_500.csv:gen442
385,"[35, 29, 17, 31, 28, 22, 35, 29]",ga_gen_500.csv:gen444
386,"[13, 31, 1, 34, 32, 8, 32, 33]",ga_gen_500.csv:gen446
387,"[21, 23, 17, 35, 36, 18, 42, 31]",ga_gen_500.csv:gen448
388,"[18, 3, 48, 33, 17, 45, 35, 7]",ga_gen_500.csv:gen450
389,"[41, 15, 16, 26, 28, 26, 32, 32]",ga_gen_500.csv:gen452
390,"[9, 31, 22, 25, 20, 36, 40, 4]",ga_gen_500.csv:gen454
391,"[41, 24, 29, 23, 48, 3, 45, 40]",ga_gen_500.csv:gen456
392,"[32, 7, 35, 19, 15, 22, 26, 7]",ga_gen_500.csv:gen458
393,"[32, 13, 47, 13, 13, 4, 39, 14]",ga_gen_500.csv:gen460
394,"[1, 3, 31, 24, 17, 5, 19, 22]",ga_gen_500.csv:gen462
395,"[31, 24, 33, 17, 26, 16, 36, 24]",ga_gen_500.csv:gen464
396,"[30, 31, 20, 8, 4, 15, 48, 45]",ga_gen_500.csv:gen466
397,"[17, 22, 19, 7, 48, 21, 6, 15]",ga_gen_500.csv:gen468
398,"[43, 6, 44, 19, 22, 40, 42, 20]",ga_gen_500.csv:gen470
399,"[43, 6, 44, 19, 22, 40, 42, 20]",ga_gen_500.csv:gen472
400,"[9, 24, 26, 32, 28, 37, 34, 1]",ga_gen_500.csv:gen474
401,"[43, 47, 3, 40, 26, 0, 38, 22]",ga_gen_500.csv:gen476
402,"[22, 16, 14, 23, 19, 17, 28, 40]",ga_gen_500.csv:gen478
403,"[11, 47, 8, 1, 27, 19, 27, 24]",ga_gen_500.csv:gen480
404,"[38, 34, 29, 22, 3, 30, 44, 19]",ga_gen_500.csv:gen482
405,"[33, 29, 27, 24, 11, 32, 43, 21]",ga_gen_500.csv:gen484
406,"[12, 22, 25, 14, 23, 16, 9, 42]",ga_gen_500.csv:gen486
407,"[50, 5, 37, 6, 3, 42, 22, 4]",ga_gen_500.csv:gen488
408,"[17, 21, 30, 32, 23, 17, 37, 16]",ga_gen_500.csv:gen490
409,"[15, 17, 37, 39, 18, 31, 22, 30]",ga_gen_500.csv:gen492
410,"[17, 1, 16, 32, 37, 16, 37, 30]",ga_gen_500.csv:gen494
411,"[46, 12, 6, 42, 30, 6, 18, 35]",ga_gen_500.csv:gen496
412,"[47, 40, 39, 5, 30, 28, 45, 40]",ga_gen_500.csv:gen498
413,"[50, 20, 47, 45, 11, 34, 23, 35]",ga_gen_500.csv:gen499
