AI_ID,Genome,Sources
74,"[24, 32, 17, 16, 16, 29, 33, 24]",ga_gen_200.csv:gen24
75,"[35, 15, 50, 23, 26, 0, 29, 15]",ga_gen_200.csv:gen26
76,"[49, 0, 14, 26, 11, 30, 19, 50]",ga_gen_200.csv:gen28
77,"[22, 34, 15, 24, 30, 24, 23, 18]",ga_gen_200.csv:gen30
78,"[22, 34, 15, 24, 30, 24, 23, 18]",ga_gen_200.csv:gen32
79,"[36, 15, 21, 25, 24, 29, 19, 23]",ga_gen_200.csv:gen34
80,"[26, 34, 13, 30, 29, 25, 44, 20]",ga_gen_200.csv:gen36
81,"[44, 13, 26, 32, 9, 26, 28, 7]",ga_gen_200.csv:gen38
82,"[47, 35, 47, 28, 27, 23, 49, 28]",ga_gen_200.csv:gen40
83,"[48, 26, 32, 27, 20, 11, 36, 35]",ga_gen_200.csv:gen42
84,"[19, 9, 33, 31, 26, 18, 30, 14]",ga_gen_200.csv:gen44
85,"[19, 9, 33, 31, 26, 18, 30, 14]",ga_gen_200.csv:gen46
86,"[32, 22, 13, 36, 41, 26, 16, 37]",ga_gen_200.csv:gen48
87,"[30, 19, 17, 34, 32, 27, 19, 35]",ga_gen_200.csv:gen50
88,"[13, 21, 33, 5, 21, 3, 47, 49]",ga_gen_200.csv:gen52
89,"[39, 39, 20, 19, 24, 26, 48, 30]",ga_gen_200.csv:gen54
90,"[30, 36, 16, 23, 28, 19, 30, 20]",ga_gen_200.csv:gen56
91,"[12, 14, 43, 39, 24, 40, 42, 7]",ga_gen_200.csv:gen58
92,"[26, 17, 35, 29, 20, 10, 49, 10]",ga_gen_200.csv:gen60
93,"[21, 35, 18, 16, 20, 11, 22, 20]",ga_gen_200.csv:gen62
94,"[26, 7, 45, 35, 17, 41, 43, 22]",ga_gen_200.csv:gen64
95,"[26, 7, 45, 35, 17, 41, 43, 22]",ga_gen_200.csv:gen66
96,"[26, 8, 44, 35, 17, 41, 43, 22]",ga_gen_200.csv:gen68
97,"[1, 20, 2, 12, 31, 10, 20, 46]",ga_gen_200.csv:gen70
98,"[30, 23, 26, 24, 30, 40, 17, 47]",ga_gen_200.csv:gen72
99,"[16, 26, 26, 24, 24, 38, 22, 27]",ga_gen_200.csv:gen74
100,"[46, 13, 29, 26, 29, 33, 28, 37]",ga_gen_200.csv:gen76
101,"[45, 21, 18, 13, 15, 29, 28, 34]",ga_gen_200.csv:gen78
102,"[45, 11, 29, 42, 8, 15, 20, 34]",ga_gen_200.csv:gen80
103,"[38, 48, 13, 6, 9, 5, 26, 44]",ga_gen_200.csv:gen82
104,"[0, 30, 17, 38, 12, 41, 39, 40]",ga_gen_200.csv:gen84
105,"[27, 50, 41, 22, 37, 19, 12, 31]",ga_gen_200.csv:gen86
106,"[15, 25, 12, 33, 8, 44, 11, 44]",ga_gen_200.csv:gen88
107,"[48, 27, 18, 18, 11, 35, 23, 27]",ga_gen_200.csv:gen90
108,"[39, 10, 17, 35, 26, 36, 50, 48]",ga_gen_200.csv:gen92
109,"[19, 33, 25, 29, 41, 44, 20, 23]",ga_gen_200.csv:gen94
110,"[29, 23, 28, 27, 32, 32, 19, 25]",ga_gen_200.csv:gen96
111,"[32, 19, 21, 27, 32, 36, 29, 30]",ga_gen_200.csv:gen98
112,"[12, 16, 32, 32, 7, 23, 13, 33]",ga_gen_200.csv:gen100
113,"[12, 16, 32, 32, 8, 23, 13, 33]",ga_gen_200.csv:gen102
114,"[30, 40, 32, 13, 36, 29, 12, 18]",ga_gen_200.csv:gen104
115,"[12, 34, 35, 26, 29, 8, 25, 20]",ga_gen_200.csv:gen106
116,"[29, 27, 21, 21, 38, 18, 26, 27]",ga_gen_200.csv:gen108
117,"[46, 4, 41, 33, 27, 13, 47, 21]",ga_gen_200.csv:gen110
118,"[1, 14, 24, 21, 42, 41, 6, 32]",ga_gen_200.csv:gen112
119,"[22, 26, 15, 20, 25, 30, 30, 31]",ga_gen_200.csv:gen114
120,"[35, 46, 9, 11, 16, 19, 17, 4]",ga_gen_200.csv:gen116
121,"[3, 8, 36, 23, 17, 35, 37, 36]",ga_gen_200.csv:gen118
122,"[4, 13, 37, 27, 32, 19, 23, 24]",ga_gen_200.csv:gen120
123,"[41, 7, 22, 30, 11, 20, 28, 24]",ga_gen_200.csv:gen122
124,"[26, 18, 16, 36, 23, 23, 20, 20]",ga_gen_200.csv:gen124
125,"[47, 20, 15, 29, 39, 20, 23, 28]",ga_gen_200.csv:gen126
126,"[6, 7, 37, 11, 3, 50, 25, 12]",ga_gen_200.csv:gen128
127,"[16, 11, 24, 20, 12, 23, 27, 15]",ga_gen_200.csv:gen130
128,"[31, 13, 32, 22, 25, 27, 42, 18]",ga_gen_200.csv:gen132
129,"[36, 27, 43, 21, 27, 21, 31, 29]",ga_gen_200.csv:gen134
130,"[16, 21, 8, 29, 26, 1, 15, 32]",ga_gen_200.csv:gen136
131,"[16, 21, 8, 29, 26, 1, 15, 32]",ga_gen_200.csv:gen138
132,"[16, 11, 18, 16, 4, 13, 42, 8]",ga_gen_200.csv:gen140
133,"[23, 7, 30, 20, 40, 39, 30, 2]",ga_gen_200.csv:gen142
134,"[10, 11, 38, 25, 8, 25, 40, 22]",ga_gen_200.csv:gen144
135,"[42, 9, 25, 16, 5, 41, 30, 33]",ga_gen_200.csv:gen146
136,"[31, 13, 18, 24, 23, 31, 28, 16]",ga_gen_200.csv:gen148
137,"[32, 18, 16, 19, 19, 30, 30, 15]",ga_gen_200.csv:gen150
138,"[30, 20, 40, 29, 20, 37, 43, 24]",ga_gen_200.csv:gen152
139,"[47, 37, 3, 46, 34, 26, 30, 30]",ga_gen_200.csv:gen154
140,"[46, 13, 27, 36, 19, 19, 34, 9]",ga_gen_200.csv:gen156
141,"[19, 36, 12, 13, 2, 41, 31, 7]",ga_gen_200.csv:gen158
142,"[19, 7, 14, 14, 44, 47, 8, 23]",ga_gen_200.csv:gen160
143,"[19, 20, 36, 38, 26, 49, 48, 34]",ga_gen_200.csv:gen162
144,"[34, 13, 19, 20, 23, 15, 31, 24]",ga_gen_200.csv:gen164
145,"[49, 11, 11, 49, 26, 49, 19, 48]",ga_gen_200.csv:gen166
146,"[11, 50, 5, 38, 36, 39, 17, 41]",ga_gen_200.csv:gen168
147,"[14, 20, 5, 47, 47, 40, 11, 43]",ga_gen_200.csv:gen170
148,"[42, 22, 23, 13, 36, 38, 22, 26]",ga_gen_200.csv:gen172
149,"[33, 31, 17, 26, 17, 24, 23, 30]",ga_gen_200.csv:gen174
150,"[46, 4, 43, 26, 4, 40, 14, 22]",ga_gen_200.csv:gen176
151,"[20, 42, 21, 18, 27, 46, 13, 22]",ga_gen_200.csv:gen178
152,"[42, 13, 37, 26, 11, 23, 32, 42]",ga_gen_200.csv:gen180
153,"[33, 12, 31, 37, 32, 19, 15, 23]",ga_gen_200.csv:gen182
154,"[30, 50, 32, 15, 33, 24, 22, 23]",ga_gen_200.csv:gen184
155,"[34, 13, 30, 27, 31, 29, 36, 23]",ga_gen_200.csv:gen186
156,"[33, 14, 30, 26, 31, 28, 35, 24]",ga_gen_200.csv:gen188
157,"[24, 25, 31, 20, 33, 16, 33, 31]",ga_gen_200.csv:gen190
158,"[40, 33, 31, 12, 27, 24, 35, 13]",ga_gen_200.csv:gen192
159,"[26, 25, 36, 28, 47, 27, 8, 50]",ga_gen_200.csv:gen194
160,"[23, 7, 42, 8, 16, 14, 34, 23]",ga_gen_200.csv:gen196
161,"[40, 31, 21, 20, 32, 31, 42, 40]",ga_gen_200.csv:gen198
162,"[11, 25, 47, 1, 29, 25, 9, 26]",ga_gen_200.csv:gen199
163,"[7, 0, 44, 10, 44, 23, 19, 22]",ga_gen_500.csv:gen0
164,"[36, 35, 30, 22, 33, 34, 35, 33]",ga_gen_500.csv:gen2
165,"[35, 10, 1, 32, 11, 37, 24, 48]",ga_gen_500.csv:gen4
166,"[32, 6, 37, 36, 39, 17, 40, 27]",ga_gen_500.csv:gen6
167,"[32, 6, 37, 36, 39, 17, 40, 27]",ga_gen_500.csv:gen8
168,"[23, 25, 27, 29, 21, 21, 30, 22]",ga_gen_500.csv:gen10
169,"[15, 36, 50, 17, 25, 41, 48, 7]",ga_gen_500.csv:gen12
170,"[25, 20, 30, 29, 36, 18, 42, 26]",ga_gen_500.csv:gen14
171,"[3, 6, 48, 17, 33, 9, 31, 42]",ga_gen_500.csv:gen16
172,"[21, 7, 2, 30, 18, 45, 43, 42]",ga_gen_500.csv:gen18
173,"[3, 32, 32, 32, 1, 42, 29, 50]",ga_gen_500.csv:gen20
174,"[35, 26, 12, 18, 17, 23, 22, 34]",ga_gen_500.csv:gen22
175,"[48, 14, 30, 26, 34, 15, 7, 30]",ga_gen_500.csv:gen24
176,"[34, 21, 17, 33, 29, 26, 26, 41]",ga_gen_500.csv:gen26
177,"[17, 39, 8, 2, 23, 7, 29, 27]",ga_gen_500.csv:gen28
178,"[45, 20, 11, 12, 19, 10, 18, 32]",ga_gen_500.csv:gen30
179,"[34, 24, 18, 24, 29, 31, 20, 30]",ga_gen_500.csv:gen32
180,"[12, 48, 32, 14, 25, 14, 16, 7]",ga_gen_500.csv:gen34
181,"[14, 24, 30, 4, 50, 0, 50, 47]",ga_gen_500.csv:gen36
182,"[32, 12, 27, 20, 3, 28, 33, 21]",ga_gen_500.csv:gen38
183,"[29, 41, 21, 33, 2, 43, 46, 18]",ga_gen_500.csv:gen40
184,"[28, 15, 29, 34, 37, 37, 19, 40]",ga_gen_500.csv:gen42
185,"[42, 20, 17, 29, 33, 25, 38, 16]",ga_gen_500.csv:gen44
186,"[48, 19, 23, 19, 24, 10, 21, 27]",ga_gen_500.csv:gen46
187,"[29, 4, 16, 15, 32, 37, 38, 29]",ga_gen_500.csv:gen48
188,"[36, 11, 44, 23, 32, 34, 42, 33]",ga_gen_500.csv:gen50
189,"[37, 40, 14, 16, 25, 38, 23, 47]",ga_gen_500.csv:gen52
190,"[28, 27, 7, 28, 17, 18, 15, 20]",ga_gen_500.csv:gen54
191,"[31, 33, 32, 36, 22, 24, 38, 23]",ga_gen_500.csv:gen56
192,"[27, 13, 29, 16, 31, 24, 19, 23]",ga_gen_500.csv:gen58
193,"[37, 36, 19, 18, 26, 20, 23, 22]",ga_gen_500.csv:gen60
194,"[35, 32, 25, 14, 2, 7, 47, 4]",ga_gen_500.csv:gen62
195,"[29, 27, 24, 8, 26, 19, 25, 23]",ga_gen_500.csv:gen64
196,"[35, 24, 7, 0, 3, 39, 45, 10]",ga_gen_500.csv:gen66
197,"[31, 8, 19, 16, 25, 32, 19, 23]",ga_gen_500.csv:gen68
198,"[13, 26, 0, 44, 40, 25, 18, 36]",ga_gen_500.csv:gen70
199,"[26, 11, 29, 35, 34, 34, 22, 21]",ga_gen_500.csv:gen72
200,"[11, 24, 17, 21, 23, 19, 19, 16]",ga_gen_500.csv:gen74
201,"[10, 32, 4, 37, 16, 21, 17, 37]",ga_gen_500.csv:gen76
202,"[29, 25, 36, 15, 25, 16, 30, 23]",ga_gen_500.csv:gen78
203,"[14, 18, 37, 3, 15, 9, 18, 8]",ga_gen_500.csv:gen80
204,"[23, 27, 10, 4, 17, 42, 36, 7]",ga_gen_500.csv:gen82
205,"[30, 47, 30, 35, 33, 29, 27, 27]",ga_gen_500.csv:gen84
206,"[29, 0, 10, 41, 34, 17, 13, 39]",ga_gen_500.csv:gen86
207,"[27, 13, 17, 19, 12, 12, 28, 38]",ga_gen_500.csv:gen88
208,"[11, 5, 12, 9, 16, 26, 41, 5]",ga_gen_500.csv:gen90
209,"[14, 1, 38, 47, 27, 36, 21, 40]",ga_gen_500.csv:gen92
210,"[35, 16, 41, 36, 36, 27, 45, 31]",ga_gen_500.csv:gen94
211,"[44, 19, 14, 33, 22, 40, 43, 23]",ga_gen_500.csv:gen96
212,"[44, 19, 14, 33, 22, 40, 43, 23]",ga_gen_500.csv:gen98
213,"[18, 20, 27, 31, 29, 28, 28, 39]",ga_gen_500.csv:gen100
214,"[26, 44, 35, 24, 39, 43, 15, 27]",ga_gen_500.csv:gen102
215,"[48, 49, 24, 17, 32, 3, 46, 46]",ga_gen_500.csv:gen104
216,"[24, 6, 42, 28, 12, 42, 43, 24]",ga_gen_500.csv:gen106
217,"[38, 13, 33, 27, 43, 44, 34, 37]",ga_gen_500.csv:gen108
218,"[39, 26, 2, 36, 19, 8, 25, 28]",ga_gen_500.csv:gen110
219,"[39, 28, 3, 34, 18, 10, 24, 28]",ga_gen_500.csv:gen112
220,"[32, 12, 28, 32, 28, 23, 33, 14]",ga_gen_500.csv:gen114
221,"[2, 48, 12, 11, 25, 26, 5, 16]",ga_gen_500.csv:gen116
222,"[47, 26, 22, 15, 29, 24, 38, 18]",ga_gen_500.csv:gen118
223,"[20, 46, 33, 25, 38, 22, 43, 22]",ga_gen_500.csv:gen120
224,"[18, 34, 27, 30, 10, 18, 36, 27]",ga_gen_500.csv:gen122
225,"[36, 14, 22, 34, 22, 15, 37, 14]",ga_gen_500.csv:gen124
226,"[28, 37, 29, 28, 44, 12, 41, 42]",ga_gen_500.csv:gen126
227,"[30, 26, 19, 20, 26, 28, 33, 14]",ga_gen_500.csv:gen128
228,"[5, 34, 18, 12, 19, 40, 50, 26]",ga_gen_500.csv:gen130
229,"[42, 36, 19, 49, 12, 7, 24, 0]",ga_gen_500.csv:gen132
230,"[21, 50, 10, 1, 27, 8, 28, 39]",ga_gen_500.csv:gen134
231,"[26, 33, 30, 30, 23, 31, 42, 32]",ga_gen_500.csv:gen136
232,"[15, 11, 41, 25, 20, 20, 33, 16]",ga_gen_500.csv:gen138
233,"[8, 48, 29, 18, 40, 48, 32, 13]",ga_gen_500.csv:gen140
234,"[34, 21, 7, 37, 26, 17, 30, 39]",ga_gen_500.csv:gen142
235,"[25, 6, 20, 23, 34, 11, 32, 31]",ga_gen_500.csv:gen144
236,"[15, 30, 12, 24, 24, 33, 27, 33]",ga_gen_500.csv:gen146
237,"[6, 0, 47, 41, 4, 49, 47, 31]",ga_gen_500.csv:gen148
238,"[13, 1, 33, 34, 5, 36, 41, 29]",ga_gen_500.csv:gen150
239,"[11, 20, 41, 31, 27, 48, 37, 48]",ga_gen_500.csv:gen152
240,"[9, 24, 29, 13, 20, 35, 37, 26]",ga_gen_500.csv:gen154
241,"[23, 36, 2, 18, 1, 16, 43, 16]",ga_gen_500.csv:gen156
242,"[48, 25, 5, 19, 21, 44, 46, 31]",ga_gen_500.csv:gen158
243,"[2, 20, 24, 27, 11, 18, 33, 17]",ga_gen_500.csv:gen160
244,"[9, 26, 11, 39, 4, 38, 41, 33]",ga_gen_500.csv:gen162
245,"[14, 11, 31, 37, 21, 19, 35, 20]",ga_gen_500.csv:gen164
246,"[0, 29, 17, 24, 9, 44, 37, 47]",ga_gen_500.csv:gen166
247,"[14, 21, 45, 8, 44, 39, 50, 8]",ga_gen_500.csv:gen168
248,"[38, 24, 25, 24, 23, 34, 43, 41]",ga_gen_500.csv:gen170
249,"[6, 38, 0, 21, 23, 23, 9, 23]",ga_gen_500.csv:gen172
250,"[15, 6, 20, 48, 43, 18, 37, 27]",ga_gen_500.csv:gen174
251,"[24, 7, 24, 23, 28, 13, 30, 25]",ga_gen_500.csv:gen176
252,"[15, 10, 13, 23, 6, 20, 27, 28]",ga_gen_500.csv:gen178
253,"[5, 12, 18, 47, 26, 9, 34, 31]",ga_gen_500.csv:gen180
