# Nonaga GA Run
# run_name: ga_gen_500
# timestamp: 2026-05-11T05:08:37
# raw_cli_args: --mode slurm --run-name ga_gen_500 --final-generations 500 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 500
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_500.csv
#   mode: slurm
#   run_name: ga_gen_500
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 500
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.7083333333333334,0.5000000000000001,0.16666666666666666,"[7, 0, 44, 10, 44, 23, 19, 22]","[26, 41, 22, 16, 22, 10, 15, 8]","[23, 21, 19, 11, 7, 31, 42, 24]","[18, 13, 23, 17, 40, 6, 19, 38]","[42, 7, 14, 38, 33, 12, 10, 7]"
1,0.7916666666666666,0.49999999999999994,0.16666666666666666,"[18, 12, 26, 39, 34, 25, 30, 17]","[38, 30, 19, 14, 25, 31, 20, 25]","[33, 3, 15, 31, 14, 32, 18, 40]","[35, 30, 8, 15, 46, 49, 15, 30]","[0, 14, 20, 45, 29, 25, 42, 38]"
2,0.8333333333333334,0.5,0.16666666666666666,"[36, 35, 30, 22, 33, 34, 35, 33]","[24, 6, 9, 48, 46, 10, 3, 21]","[25, 19, 45, 36, 28, 49, 44, 24]","[18, 12, 26, 39, 34, 25, 30, 17]","[30, 4, 19, 45, 22, 26, 15, 15]"
3,0.8333333333333334,0.5000000000000001,0.16666666666666666,"[35, 7, 48, 31, 15, 49, 34, 7]","[19, 44, 19, 13, 26, 36, 46, 38]","[36, 35, 30, 22, 33, 34, 35, 33]","[17, 31, 8, 7, 44, 49, 16, 20]","[31, 12, 24, 38, 27, 29, 18, 19]"
4,0.7708333333333334,0.5000000000000001,0.16666666666666666,"[35, 10, 1, 32, 11, 37, 24, 48]","[47, 50, 6, 41, 47, 0, 45, 34]","[38, 26, 24, 24, 17, 40, 31, 45]","[35, 7, 48, 31, 15, 49, 34, 7]","[29, 21, 37, 33, 30, 45, 40, 32]"
5,0.7708333333333334,0.5,0.22916666666666666,"[0, 15, 8, 38, 5, 2, 50, 42]","[47, 34, 23, 15, 12, 11, 33, 19]","[10, 16, 28, 19, 13, 22, 44, 17]","[1, 27, 32, 39, 19, 28, 43, 40]","[18, 9, 45, 19, 20, 27, 30, 12]"
6,0.7916666666666666,0.5000000000000001,0.16666666666666666,"[32, 6, 37, 36, 39, 17, 40, 27]","[16, 20, 22, 28, 32, 36, 37, 29]","[31, 6, 12, 27, 22, 13, 19, 38]","[0, 15, 8, 38, 5, 2, 50, 42]","[45, 36, 22, 19, 13, 15, 31, 19]"
7,0.75,0.49999999999999994,0.20833333333333334,"[32, 6, 37, 36, 39, 17, 40, 27]","[43, 49, 10, 30, 8, 4, 45, 10]","[31, 43, 14, 24, 36, 2, 14, 37]","[26, 15, 6, 30, 30, 35, 22, 39]","[8, 3, 10, 26, 16, 21, 31, 31]"
8,0.875,0.4999999999999999,0.20833333333333334,"[32, 6, 37, 36, 39, 17, 40, 27]","[11, 7, 25, 26, 25, 12, 21, 24]","[26, 31, 2, 36, 43, 28, 30, 33]","[45, 40, 10, 22, 7, 5, 42, 20]","[43, 32, 23, 18, 31, 24, 35, 21]"
9,0.8333333333333334,0.5000000000000001,0.041666666666666664,"[29, 39, 11, 39, 32, 13, 22, 30]","[30, 46, 38, 4, 19, 47, 39, 12]","[36, 2, 39, 47, 29, 26, 35, 37]","[16, 39, 26, 27, 40, 23, 24, 14]","[27, 30, 23, 13, 26, 27, 34, 29]"
10,0.7916666666666666,0.5000000000000001,0.125,"[23, 25, 27, 29, 21, 21, 30, 22]","[4, 24, 41, 47, 44, 32, 48, 14]","[27, 30, 22, 14, 26, 27, 33, 29]","[11, 10, 11, 46, 46, 4, 46, 37]","[9, 31, 4, 18, 16, 40, 31, 50]"
11,0.75,0.5,0.20833333333333334,"[15, 36, 50, 17, 25, 41, 48, 7]","[8, 5, 39, 25, 25, 2, 29, 47]","[32, 29, 26, 31, 14, 35, 44, 16]","[25, 26, 37, 30, 33, 14, 28, 18]","[45, 10, 6, 35, 4, 12, 14, 38]"
