# Nonaga GA Run
# run_name: sanity
# timestamp: 2026-05-07T18:55:15
# raw_cli_args: --run-name sanity
# full_run_parameters:
#   log_file: C:\Users\carlk\Documents\GitHub\nonaga-online\GA results\sanity.csv
#   mode: local
#   run_name: sanity

=== Stage 1/4 ===
range: 0:13
generations: 10
pop_size: 5
mutation_prob: 0.4
k_opponents: 4
depth: 2
max_moves: 30
genome_length: 8
mutation_rate: 0.5
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.75,0.5,0.125,"[0, 4, 3, 10, 5, 3, 12, 13]","[10, 1, 12, 9, 5, 7, 11, 13]","[10, 10, 7, 11, 2, 10, 4, 8]","[3, 5, 2, 10, 13, 1, 0, 10]","[2, 0, 13, 0, 5, 2, 10, 10]"
1,0.625,0.5,0.125,"[0, 4, 3, 10, 5, 3, 12, 13]","[0, 4, 3, 10, 5, 3, 12, 13]","[10, 3, 11, 9, 4, 8, 10, 12]","[10, 8, 8, 11, 3, 9, 5, 9]","[0, 4, 3, 35, 5, 3, 12, 7]"
2,0.625,0.5,0.25,"[7, 3, 9, 16, 4, 7, 11, 11]","[0, 4, 3, 10, 5, 3, 12, 13]","[0, 4, 3, 10, 5, 3, 12, 13]","[0, 23, 14, 43, 49, 31, 12, 45]","[3, 4, 5, 28, 5, 4, 11, 8]"
3,0.75,0.5,0.3125,"[7, 3, 9, 16, 4, 7, 11, 11]","[0, 5, 3, 11, 7, 4, 12, 14]","[0, 22, 14, 42, 47, 30, 12, 44]","[1, 4, 3, 13, 5, 3, 12, 12]","[2, 4, 5, 25, 5, 4, 11, 9]"
4,0.75,0.5,0.25,"[7, 3, 9, 16, 4, 7, 11, 11]","[16, 13, 8, 27, 25, 16, 12, 28]","[5, 46, 30, 23, 41, 14, 11, 20]","[2, 17, 13, 35, 35, 23, 12, 35]","[0, 13, 9, 28, 27, 17, 12, 28]"
5,0.5,0.5,0.5,"[7, 3, 9, 16, 4, 7, 11, 11]","[7, 3, 9, 16, 4, 7, 11, 11]","[7, 3, 9, 16, 4, 7, 11, 11]","[16, 13, 8, 27, 25, 16, 12, 28]","[16, 13, 8, 27, 25, 16, 12, 28]"
6,0.625,0.5,0.125,"[7, 3, 9, 16, 4, 7, 11, 11]","[7, 3, 9, 16, 4, 7, 11, 11]","[7, 3, 9, 16, 4, 7, 11, 11]","[12, 8, 8, 22, 15, 12, 12, 20]","[11, 8, 9, 21, 14, 11, 11, 19]"
7,0.75,0.5,0.1875,"[31, 25, 9, 18, 40, 8, 11, 14]","[7, 3, 9, 16, 4, 7, 11, 11]","[9, 5, 9, 19, 9, 9, 11, 15]","[10, 6, 8, 19, 10, 10, 12, 16]","[9, 6, 9, 19, 10, 9, 11, 16]"
8,0.75,0.5,0.0625,"[27, 21, 9, 18, 34, 8, 11, 13]","[11, 7, 9, 16, 10, 7, 11, 12]","[31, 25, 9, 18, 40, 8, 11, 14]","[3, 13, 9, 18, 40, 8, 8, 14]","[31, 25, 36, 50, 34, 8, 47, 14]"
9,0.75,0.5,0.25,"[35, 39, 9, 13, 40, 39, 19, 14]","[3, 13, 9, 18, 40, 8, 8, 14]","[22, 10, 46, 25, 49, 13, 11, 22]","[41, 18, 9, 18, 29, 29, 40, 3]","[27, 21, 9, 18, 34, 8, 11, 13]"
=== Stage 2/4 ===
range: 13:25
generations: 10
pop_size: 5
mutation_prob: 0.4
k_opponents: 4
depth: 2
max_moves: 30
genome_length: 8
mutation_rate: 0.5
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.625,0.5,0.375,"[20, 25, 23, 18, 15, 13, 20, 21]","[19, 13, 21, 25, 16, 18, 18, 16]","[17, 13, 23, 13, 14, 19, 23, 24]","[15, 17, 15, 23, 17, 24, 16, 24]","[19, 25, 24, 20, 15, 20, 19, 22]"
