# Nonaga GA Run
# run_name: ga_gen_20
# timestamp: 2026-05-08T01:07:41
# raw_cli_args: --mode slurm --run-name ga_gen_20 --final-generations 20 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 20
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_20.csv
#   mode: slurm
#   run_name: ga_gen_20
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 20
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
10,0.7916666666666666,0.49999999999999994,0.10416666666666667,"[28, 10, 47, 29, 34, 15, 7, 23]","[30, 44, 29, 33, 47, 17, 27, 19]","[15, 16, 12, 42, 45, 33, 13, 39]","[0, 4, 30, 12, 3, 43, 31, 43]","[1, 31, 26, 18, 47, 21, 1, 24]"
11,0.8125,0.5000000000000001,0.125,"[28, 10, 47, 29, 34, 15, 7, 23]","[15, 9, 26, 31, 20, 20, 33, 38]","[32, 26, 11, 24, 28, 10, 17, 28]","[16, 41, 19, 20, 23, 37, 17, 19]","[29, 12, 27, 19, 9, 29, 36, 13]"
12,0.7083333333333334,0.49999999999999994,0.125,"[33, 5, 41, 38, 48, 14, 23, 48]","[32, 35, 26, 10, 31, 19, 37, 24]","[28, 16, 30, 18, 9, 31, 32, 16]","[9, 49, 17, 14, 15, 41, 43, 36]","[22, 13, 25, 32, 20, 19, 32, 32]"
13,0.8333333333333334,0.49999999999999994,0.16666666666666666,"[18, 43, 18, 25, 33, 19, 25, 20]","[33, 5, 41, 38, 48, 14, 23, 48]","[26, 24, 17, 39, 30, 25, 27, 37]","[26, 33, 32, 3, 21, 20, 35, 16]","[25, 1, 35, 22, 31, 2, 42, 29]"
14,0.7083333333333334,0.5,0.22916666666666666,"[16, 45, 23, 47, 22, 43, 42, 11]","[26, 33, 32, 3, 21, 20, 35, 16]","[22, 11, 35, 27, 21, 47, 33, 40]","[21, 19, 30, 27, 27, 6, 30, 18]","[40, 39, 40, 27, 45, 13, 2, 8]"
15,0.7916666666666666,0.5,0.20833333333333334,"[28, 24, 27, 17, 23, 15, 38, 19]","[24, 4, 33, 20, 31, 7, 37, 27]","[26, 30, 31, 7, 24, 19, 33, 18]","[24, 5, 33, 23, 31, 5, 39, 28]","[22, 33, 22, 46, 17, 6, 26, 40]"
16,0.8125,0.49999999999999994,0.16666666666666666,"[29, 30, 44, 43, 50, 42, 34, 37]","[14, 5, 12, 46, 39, 18, 8, 22]","[28, 24, 25, 15, 23, 14, 39, 20]","[29, 10, 29, 26, 28, 11, 30, 25]","[4, 8, 50, 4, 22, 5, 33, 24]"
17,0.8333333333333334,0.5,0.22916666666666666,"[41, 10, 18, 41, 18, 18, 34, 41]","[22, 32, 25, 47, 25, 34, 35, 8]","[24, 11, 21, 39, 33, 26, 20, 23]","[44, 17, 45, 43, 42, 13, 18, 26]","[21, 32, 20, 42, 32, 20, 22, 19]"
18,0.7291666666666666,0.4999999999999999,0.20833333333333334,"[41, 39, 32, 33, 49, 8, 9, 3]","[20, 25, 22, 32, 23, 28, 31, 37]","[20, 35, 19, 36, 33, 23, 19, 19]","[9, 38, 3, 48, 47, 30, 12, 13]","[23, 50, 29, 40, 41, 28, 22, 30]"
19,0.7916666666666666,0.5000000000000001,0.14583333333333334,"[23, 5, 40, 47, 22, 18, 31, 26]","[33, 8, 7, 22, 11, 50, 45, 31]","[17, 19, 24, 33, 30, 32, 31, 40]","[17, 24, 9, 48, 20, 10, 28, 21]","[43, 36, 23, 9, 28, 24, 48, 27]"
