# Nonaga GA Run
# run_name: ga_gen_20
# timestamp: 2026-05-08T01:07:41
# raw_cli_args: --mode slurm --run-name ga_gen_20 --final-generations 20 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 20
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_20.csv
#   mode: slurm
#   run_name: ga_gen_20
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 20
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.8333333333333334,0.5,0.125,"[47, 38, 43, 33, 22, 2, 39, 8]","[6, 9, 36, 32, 0, 39, 49, 42]","[49, 11, 36, 24, 36, 2, 25, 47]","[2, 3, 49, 48, 25, 35, 44, 36]","[13, 29, 45, 16, 40, 22, 22, 23]"
1,0.7916666666666666,0.49999999999999994,0.20833333333333334,"[47, 38, 43, 33, 22, 2, 39, 8]","[50, 46, 11, 20, 19, 45, 38, 9]","[43, 31, 37, 29, 29, 13, 31, 20]","[15, 13, 39, 32, 20, 42, 30, 15]","[2, 3, 49, 48, 25, 35, 44, 36]"
2,0.8333333333333334,0.5,0.16666666666666666,"[44, 32, 38, 30, 28, 11, 32, 18]","[47, 40, 34, 33, 18, 21, 43, 20]","[31, 30, 24, 6, 9, 43, 32, 28]","[23, 27, 12, 20, 28, 35, 11, 26]","[23, 15, 23, 21, 10, 46, 42, 39]"
3,0.7916666666666666,0.5,0.125,"[46, 39, 34, 33, 18, 22, 43, 21]","[29, 26, 21, 48, 20, 36, 34, 37]","[47, 44, 40, 12, 22, 9, 30, 31]","[14, 23, 41, 13, 27, 11, 8, 43]","[41, 13, 9, 16, 22, 21, 24, 25]"
4,0.75,0.5,0.08333333333333333,"[35, 37, 40, 47, 38, 32, 12, 10]","[38, 15, 27, 32, 29, 14, 15, 22]","[24, 30, 41, 38, 17, 33, 50, 24]","[11, 6, 34, 42, 43, 21, 24, 18]","[46, 39, 34, 33, 18, 22, 43, 21]"
5,0.7916666666666666,0.5000000000000001,0.20833333333333334,"[35, 37, 40, 47, 38, 32, 12, 10]","[36, 41, 5, 12, 12, 8, 44, 27]","[30, 23, 18, 28, 34, 33, 35, 34]","[45, 26, 31, 32, 7, 15, 36, 37]","[35, 38, 29, 18, 23, 12, 20, 38]"
6,0.8333333333333334,0.5,0.125,"[50, 23, 12, 31, 20, 22, 19, 15]","[35, 39, 16, 0, 9, 24, 31, 35]","[32, 17, 17, 33, 38, 47, 16, 39]","[42, 15, 24, 14, 41, 33, 21, 28]","[30, 15, 32, 6, 22, 10, 19, 47]"
7,0.8541666666666666,0.5000000000000001,0.16666666666666666,"[32, 4, 34, 35, 14, 31, 45, 36]","[26, 13, 16, 17, 29, 31, 12, 16]","[43, 44, 34, 25, 28, 43, 47, 23]","[38, 3, 8, 48, 19, 0, 4, 39]","[44, 23, 28, 22, 4, 6, 42, 10]"
8,0.875,0.5,0.1875,"[8, 46, 8, 12, 18, 37, 14, 14]","[13, 12, 28, 13, 30, 38, 18, 47]","[32, 4, 34, 35, 14, 31, 45, 36]","[25, 15, 16, 17, 28, 31, 12, 16]","[27, 12, 18, 19, 27, 31, 16, 18]"
9,0.7916666666666666,0.49999999999999994,0.16666666666666666,"[28, 10, 47, 29, 34, 15, 7, 23]","[14, 31, 29, 25, 42, 42, 19, 14]","[44, 9, 32, 42, 32, 50, 32, 40]","[11, 39, 16, 16, 21, 32, 12, 14]","[8, 46, 8, 12, 18, 37, 14, 14]"
