# Nonaga GA Run
# run_name: ga_gen_100
# timestamp: 2026-05-08T02:15:18
# raw_cli_args: --mode slurm --run-name ga_gen_100 --final-generations 100 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 100
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_100.csv
#   mode: slurm
#   run_name: ga_gen_100
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 100
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
76,0.7916666666666666,0.4999999999999999,0.16666666666666666,"[5, 15, 23, 37, 24, 15, 27, 40]","[25, 34, 26, 14, 42, 25, 22, 31]","[39, 28, 14, 11, 34, 17, 24, 20]","[10, 32, 6, 2, 44, 22, 30, 30]","[2, 44, 40, 36, 38, 5, 21, 22]"
77,0.7083333333333334,0.5000000000000001,0.16666666666666666,"[38, 31, 12, 45, 32, 20, 19, 23]","[20, 23, 17, 12, 20, 47, 34, 7]","[33, 44, 41, 4, 29, 7, 39, 29]","[42, 32, 14, 10, 21, 11, 25, 19]","[33, 4, 11, 19, 44, 22, 24, 10]"
78,0.7916666666666666,0.5000000000000002,0.08333333333333333,"[36, 31, 14, 21, 33, 18, 25, 21]","[28, 32, 14, 31, 23, 23, 19, 26]","[11, 40, 19, 27, 32, 31, 37, 28]","[14, 41, 29, 22, 25, 23, 10, 20]","[17, 20, 19, 18, 25, 41, 33, 10]"
79,0.75,0.4999999999999999,0.14583333333333334,"[37, 23, 15, 11, 36, 35, 19, 30]","[21, 18, 21, 39, 17, 19, 27, 27]","[42, 24, 20, 49, 40, 3, 16, 37]","[29, 48, 4, 47, 14, 33, 30, 32]","[40, 45, 1, 47, 12, 23, 21, 11]"
80,0.75,0.5000000000000001,0.22916666666666666,"[21, 4, 49, 49, 48, 24, 43, 12]","[11, 24, 16, 35, 28, 15, 9, 39]","[29, 30, 21, 14, 33, 15, 23, 23]","[27, 36, 46, 17, 42, 34, 30, 14]","[25, 22, 17, 26, 29, 20, 30, 27]"
81,0.7916666666666666,0.5000000000000001,0.2916666666666667,"[37, 6, 27, 26, 18, 21, 50, 11]","[31, 37, 15, 42, 31, 12, 8, 29]","[21, 4, 49, 49, 48, 24, 43, 12]","[21, 4, 49, 49, 48, 24, 43, 12]","[30, 0, 26, 25, 35, 29, 47, 36]"
82,0.8125,0.49999999999999994,0.125,"[4, 24, 8, 34, 34, 36, 47, 36]","[22, 22, 10, 37, 19, 27, 23, 34]","[17, 24, 5, 29, 37, 12, 33, 31]","[30, 23, 40, 2, 0, 11, 14, 40]","[28, 9, 49, 39, 44, 20, 42, 19]"
83,0.7708333333333334,0.49999999999999994,0.16666666666666666,"[5, 26, 49, 1, 9, 37, 15, 42]","[31, 2, 47, 41, 49, 40, 23, 35]","[28, 18, 46, 29, 9, 47, 26, 27]","[4, 24, 8, 34, 34, 36, 47, 36]","[33, 37, 24, 21, 8, 44, 39, 7]"
84,0.7083333333333334,0.5,0.14583333333333334,"[24, 23, 37, 17, 33, 21, 49, 35]","[20, 1, 32, 21, 40, 47, 19, 11]","[8, 27, 8, 44, 30, 29, 39, 14]","[11, 18, 18, 36, 38, 37, 41, 36]","[13, 2, 48, 28, 25, 41, 33, 23]"
85,0.7083333333333334,0.5,0.16666666666666666,"[34, 50, 27, 3, 22, 46, 37, 30]","[50, 5, 42, 24, 9, 19, 32, 17]","[14, 6, 26, 5, 32, 8, 25, 31]","[14, 20, 20, 34, 33, 39, 39, 33]","[11, 13, 26, 33, 34, 38, 39, 33]"
86,0.75,0.49999999999999994,0.20833333333333334,"[24, 23, 36, 17, 33, 20, 47, 34]","[0, 0, 27, 17, 22, 4, 17, 44]","[19, 5, 49, 11, 14, 12, 25, 12]","[33, 47, 26, 7, 21, 42, 33, 29]","[37, 26, 39, 35, 31, 0, 39, 36]"
87,0.7916666666666666,0.49999999999999983,0.1875,"[35, 48, 20, 18, 19, 48, 36, 4]","[20, 28, 24, 12, 31, 16, 12, 14]","[39, 16, 21, 40, 32, 27, 19, 31]","[24, 23, 36, 17, 33, 20, 47, 34]","[6, 50, 38, 24, 48, 25, 18, 38]"
88,0.7708333333333334,0.5000000000000001,0.16666666666666666,"[35, 42, 2, 3, 20, 35, 15, 30]","[35, 48, 20, 18, 19, 48, 36, 4]","[11, 18, 16, 31, 11, 28, 20, 39]","[21, 17, 31, 32, 47, 41, 35, 17]","[38, 37, 16, 17, 25, 36, 31, 10]"
89,0.75,0.5000000000000001,0.16666666666666666,"[45, 22, 15, 46, 44, 22, 36, 24]","[20, 29, 11, 23, 28, 31, 37, 17]","[37, 39, 21, 17, 24, 38, 33, 19]","[45, 20, 16, 11, 17, 43, 31, 29]","[8, 30, 32, 37, 4, 31, 10, 40]"
90,0.8125,0.49999999999999994,0.125,"[36, 45, 20, 16, 21, 46, 35, 8]","[35, 4, 21, 27, 10, 29, 16, 34]","[18, 20, 20, 11, 40, 30, 30, 9]","[42, 22, 41, 33, 9, 14, 34, 5]","[23, 4, 9, 32, 25, 43, 43, 46]"
91,0.7291666666666666,0.4999999999999999,0.16666666666666666,"[36, 45, 20, 16, 21, 46, 35, 8]","[31, 35, 17, 15, 17, 43, 34, 14]","[18, 20, 25, 25, 28, 23, 38, 21]","[15, 29, 38, 28, 9, 19, 44, 12]","[22, 22, 7, 37, 20, 27, 38, 20]"
92,0.7708333333333334,0.5000000000000001,0.1875,"[36, 45, 20, 16, 21, 46, 35, 8]","[31, 24, 37, 32, 13, 19, 36, 11]","[32, 21, 22, 36, 26, 32, 27, 24]","[16, 45, 7, 14, 19, 27, 26, 32]","[16, 15, 34, 18, 5, 26, 36, 10]"
93,0.7291666666666666,0.5,0.20833333333333334,"[22, 24, 29, 26, 26, 20, 28, 20]","[36, 14, 26, 30, 20, 35, 42, 21]","[33, 32, 30, 26, 16, 30, 36, 10]","[29, 25, 33, 14, 25, 16, 13, 34]","[3, 38, 14, 33, 25, 35, 33, 10]"
94,0.7291666666666666,0.5000000000000001,0.16666666666666666,"[27, 10, 9, 33, 40, 33, 19, 25]","[34, 38, 25, 21, 18, 38, 36, 9]","[50, 36, 38, 10, 21, 18, 32, 29]","[32, 33, 9, 10, 19, 25, 21, 37]","[25, 22, 25, 24, 22, 21, 26, 30]"
95,0.8333333333333334,0.49999999999999994,0.25,"[20, 14, 42, 42, 30, 28, 36, 25]","[25, 28, 25, 22, 24, 28, 31, 21]","[30, 4, 38, 35, 25, 47, 46, 8]","[26, 34, 19, 22, 43, 19, 47, 37]","[23, 20, 20, 23, 23, 37, 24, 16]"
96,0.7916666666666666,0.5000000000000001,0.16666666666666666,"[20, 14, 42, 42, 30, 28, 36, 25]","[44, 9, 26, 41, 45, 44, 23, 46]","[42, 11, 2, 23, 19, 27, 8, 31]","[28, 16, 30, 30, 32, 36, 46, 20]","[37, 10, 13, 40, 41, 34, 7, 4]"
97,0.8541666666666666,0.5000000000000001,0.16666666666666666,"[33, 6, 43, 34, 39, 28, 41, 36]","[31, 6, 12, 30, 26, 29, 24, 41]","[31, 26, 34, 37, 29, 32, 18, 19]","[20, 14, 42, 42, 30, 28, 36, 25]","[50, 10, 48, 35, 21, 35, 36, 24]"
98,0.7916666666666666,0.5,0.20833333333333334,"[30, 21, 32, 29, 28, 28, 41, 26]","[36, 46, 6, 45, 9, 21, 21, 43]","[43, 15, 15, 33, 32, 27, 17, 36]","[33, 6, 43, 34, 39, 28, 41, 36]","[27, 0, 28, 29, 24, 10, 50, 23]"
99,0.7708333333333334,0.5,0.16666666666666666,"[4, 10, 3, 48, 24, 14, 42, 48]","[34, 20, 39, 24, 12, 26, 12, 31]","[30, 21, 32, 29, 28, 28, 41, 26]","[38, 0, 24, 19, 26, 48, 40, 49]","[41, 15, 14, 34, 32, 26, 19, 37]"
