# Nonaga GA Run
# run_name: ga_gen_100
# timestamp: 2026-05-08T02:15:18
# raw_cli_args: --mode slurm --run-name ga_gen_100 --final-generations 100 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 100
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_100.csv
#   mode: slurm
#   run_name: ga_gen_100
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 100
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
18,0.8125,0.49999999999999994,0.16666666666666666,"[31, 11, 21, 43, 27, 43, 32, 23]","[20, 22, 10, 31, 32, 26, 22, 43]","[12, 22, 32, 25, 25, 6, 41, 27]","[20, 21, 38, 47, 48, 50, 50, 15]","[14, 37, 18, 32, 49, 44, 39, 10]"
19,0.8541666666666666,0.49999999999999994,0.22916666666666666,"[31, 11, 21, 43, 27, 43, 32, 23]","[26, 22, 29, 3, 30, 38, 43, 1]","[36, 18, 7, 14, 19, 22, 12, 34]","[26, 9, 28, 38, 38, 17, 19, 29]","[16, 18, 5, 7, 37, 49, 22, 45]"
20,0.7916666666666666,0.5000000000000001,0.2916666666666667,"[6, 33, 3, 34, 30, 11, 43, 45]","[12, 20, 26, 15, 16, 44, 17, 37]","[4, 21, 14, 36, 44, 36, 47, 11]","[34, 13, 0, 48, 43, 10, 7, 25]","[10, 25, 38, 45, 46, 38, 11, 11]"
21,0.7916666666666666,0.4999999999999999,0.2708333333333333,"[20, 9, 8, 29, 24, 22, 24, 16]","[30, 44, 12, 1, 14, 11, 8, 43]","[19, 11, 41, 27, 28, 22, 46, 33]","[43, 15, 33, 31, 24, 31, 32, 10]","[44, 7, 36, 43, 18, 41, 42, 13]"
22,0.7916666666666666,0.49999999999999994,0.16666666666666666,"[20, 9, 8, 29, 24, 22, 24, 16]","[43, 10, 30, 35, 21, 35, 27, 22]","[13, 22, 26, 43, 20, 28, 26, 38]","[31, 41, 14, 4, 15, 13, 11, 40]","[1, 7, 41, 29, 25, 20, 12, 49]"
23,0.7916666666666666,0.4999999999999999,0.20833333333333334,"[35, 36, 38, 33, 20, 47, 42, 38]","[20, 9, 8, 29, 24, 22, 24, 16]","[12, 15, 21, 30, 26, 26, 34, 28]","[31, 9, 22, 46, 36, 30, 18, 20]","[34, 23, 28, 32, 19, 31, 26, 35]"
24,0.7708333333333334,0.4999999999999999,0.22916666666666666,"[20, 24, 35, 35, 29, 33, 41, 24]","[38, 50, 42, 11, 19, 16, 47, 21]","[13, 17, 37, 6, 27, 10, 28, 33]","[29, 17, 1, 33, 28, 40, 43, 47]","[31, 9, 23, 45, 34, 28, 19, 20]"
25,0.75,0.5,0.041666666666666664,"[34, 20, 8, 38, 30, 32, 17, 23]","[32, 9, 28, 28, 28, 29, 24, 24]","[20, 12, 10, 14, 45, 10, 28, 49]","[22, 40, 2, 11, 27, 13, 25, 24]","[5, 5, 31, 15, 23, 40, 8, 32]"
26,0.8958333333333334,0.49999999999999994,0.125,"[35, 20, 4, 47, 29, 41, 38, 23]","[34, 20, 8, 38, 30, 32, 17, 23]","[23, 44, 41, 12, 27, 19, 40, 16]","[33, 37, 14, 38, 28, 41, 26, 24]","[25, 35, 4, 16, 25, 17, 24, 27]"
27,0.7916666666666666,0.4999999999999999,0.22916666666666666,"[10, 23, 32, 42, 4, 31, 31, 0]","[16, 22, 6, 41, 31, 28, 12, 14]","[3, 21, 7, 13, 21, 3, 27, 31]","[33, 37, 17, 36, 27, 39, 25, 25]","[35, 20, 4, 47, 29, 41, 38, 23]"
28,0.7916666666666666,0.5000000000000001,0.08333333333333333,"[5, 32, 15, 33, 43, 15, 16, 24]","[10, 23, 32, 42, 4, 31, 31, 0]","[40, 8, 11, 14, 9, 31, 25, 23]","[3, 4, 44, 3, 22, 4, 28, 50]","[40, 8, 11, 14, 9, 31, 25, 23]"
29,0.75,0.5000000000000001,0.16666666666666666,"[0, 20, 34, 37, 24, 38, 36, 39]","[14, 20, 20, 40, 29, 29, 23, 28]","[8, 21, 34, 42, 6, 33, 34, 6]","[44, 38, 45, 21, 11, 50, 26, 22]","[16, 29, 13, 36, 44, 16, 24, 28]"
30,0.7916666666666666,0.5000000000000001,0.125,"[35, 1, 36, 28, 3, 27, 25, 8]","[49, 6, 21, 41, 37, 33, 34, 30]","[0, 20, 34, 37, 24, 38, 36, 39]","[5, 10, 37, 3, 24, 15, 28, 47]","[14, 30, 13, 35, 44, 16, 22, 27]"
31,0.8125,0.5000000000000001,0.25,"[49, 6, 21, 41, 36, 33, 33, 30]","[36, 16, 37, 22, 14, 20, 30, 6]","[37, 46, 35, 20, 24, 0, 8, 35]","[35, 1, 36, 28, 3, 27, 25, 8]","[33, 13, 1, 8, 50, 25, 8, 14]"
32,0.7708333333333334,0.49999999999999994,0.25,"[49, 6, 21, 41, 36, 33, 33, 30]","[36, 25, 2, 10, 39, 37, 37, 31]","[35, 2, 26, 26, 38, 14, 35, 30]","[25, 48, 2, 41, 3, 39, 24, 44]","[38, 38, 24, 36, 35, 36, 33, 23]"
33,0.7916666666666666,0.49999999999999994,0.25,"[33, 29, 13, 20, 27, 37, 27, 13]","[26, 18, 20, 18, 15, 29, 25, 42]","[23, 43, 1, 15, 42, 27, 48, 11]","[49, 6, 21, 41, 36, 33, 33, 30]","[39, 23, 41, 22, 6, 17, 45, 2]"
34,0.7083333333333334,0.5,0.1875,"[24, 29, 23, 22, 18, 37, 42, 11]","[40, 5, 45, 28, 2, 44, 43, 35]","[15, 15, 29, 22, 42, 37, 20, 1]","[15, 17, 25, 20, 42, 37, 22, 2]","[16, 24, 12, 25, 10, 15, 31, 24]"
