# Nonaga GA Run
# run_name: ga_gen_200
# timestamp: 2026-05-10T16:48:36
# raw_cli_args: --mode slurm --run-name ga_gen_200 --final-generations 200 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 200
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_200.csv
#   mode: slurm
#   run_name: ga_gen_200
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 200
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.7916666666666666,0.5000000000000002,0.125,"[11, 14, 49, 29, 16, 44, 32, 7]","[17, 46, 8, 32, 30, 43, 21, 50]","[4, 30, 45, 38, 7, 48, 48, 21]","[27, 21, 9, 14, 9, 44, 7, 32]","[13, 50, 28, 47, 13, 16, 48, 46]"
1,0.75,0.5000000000000001,0.125,"[36, 30, 8, 30, 33, 38, 18, 34]","[43, 9, 44, 16, 5, 46, 47, 8]","[23, 18, 8, 18, 14, 43, 11, 32]","[13, 10, 13, 50, 46, 47, 29, 45]","[1, 13, 12, 4, 49, 3, 4, 41]"
2,0.75,0.5,0.25,"[23, 29, 33, 15, 30, 20, 16, 13]","[47, 43, 20, 13, 11, 28, 43, 11]","[25, 16, 22, 41, 23, 18, 28, 30]","[16, 20, 14, 35, 38, 23, 19, 38]","[18, 35, 16, 10, 22, 36, 11, 20]"
3,0.75,0.5000000000000001,0.1875,"[41, 22, 32, 33, 19, 48, 9, 13]","[26, 36, 21, 44, 13, 47, 42, 38]","[23, 28, 32, 16, 30, 20, 17, 14]","[34, 29, 9, 31, 34, 36, 18, 34]","[18, 21, 13, 34, 37, 25, 19, 38]"
4,0.7291666666666666,0.5,0.20833333333333334,"[6, 26, 38, 17, 27, 47, 47, 26]","[6, 34, 7, 5, 4, 41, 19, 50]","[22, 40, 14, 28, 32, 45, 18, 10]","[8, 11, 14, 14, 44, 31, 38, 7]","[25, 29, 30, 21, 20, 27, 20, 23]"
5,0.9166666666666666,0.5000000000000001,0.020833333333333332,"[32, 7, 19, 25, 21, 29, 42, 16]","[36, 27, 21, 10, 16, 4, 22, 11]","[32, 1, 43, 23, 42, 30, 24, 42]","[4, 4, 30, 37, 48, 1, 36, 50]","[50, 6, 23, 42, 44, 31, 25, 30]"
6,0.7708333333333334,0.49999999999999994,0.20833333333333334,"[16, 33, 48, 27, 29, 13, 37, 22]","[20, 6, 22, 15, 6, 27, 29, 23]","[1, 49, 12, 15, 44, 24, 22, 15]","[32, 7, 19, 25, 21, 29, 42, 16]","[34, 32, 25, 13, 5, 37, 39, 7]"
7,0.8541666666666666,0.5000000000000001,0.125,"[38, 15, 14, 30, 18, 42, 40, 29]","[22, 39, 26, 21, 23, 24, 44, 8]","[45, 5, 18, 37, 30, 26, 35, 32]","[45, 21, 49, 32, 12, 23, 40, 49]","[44, 7, 47, 43, 11, 19, 41, 27]"
8,0.8333333333333334,0.49999999999999994,0.20833333333333334,"[21, 36, 31, 26, 16, 20, 43, 23]","[38, 15, 14, 30, 18, 42, 40, 29]","[7, 29, 26, 33, 29, 11, 34, 13]","[25, 28, 16, 35, 24, 28, 22, 28]","[35, 16, 41, 14, 17, 29, 8, 39]"
9,0.7916666666666666,0.5000000000000001,0.16666666666666666,"[25, 8, 7, 35, 9, 4, 20, 45]","[5, 28, 48, 45, 40, 43, 13, 48]","[22, 39, 26, 14, 30, 19, 43, 19]","[39, 28, 13, 43, 50, 21, 1, 35]","[23, 35, 33, 25, 15, 22, 39, 21]"
10,0.8333333333333334,0.4999999999999999,0.16666666666666666,"[8, 29, 6, 41, 34, 33, 30, 38]","[43, 32, 14, 21, 30, 33, 20, 37]","[25, 8, 7, 35, 9, 4, 20, 45]","[30, 21, 14, 37, 25, 7, 16, 41]","[25, 8, 8, 35, 10, 4, 20, 45]"
