# Nonaga GA Run
# run_name: ga_gen_200
# timestamp: 2026-05-10T16:48:36
# raw_cli_args: --mode slurm --run-name ga_gen_200 --final-generations 200 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 200
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_200.csv
#   mode: slurm
#   run_name: ga_gen_200
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 200
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
11,0.7708333333333334,0.49999999999999994,0.20833333333333334,"[8, 29, 6, 41, 34, 33, 30, 38]","[28, 27, 24, 34, 32, 21, 23, 30]","[24, 11, 9, 33, 13, 5, 21, 45]","[31, 46, 43, 21, 9, 33, 49, 7]","[20, 38, 17, 14, 34, 9, 26, 41]"
12,0.8333333333333334,0.5000000000000001,0.20833333333333334,"[28, 48, 46, 7, 29, 15, 27, 24]","[27, 42, 35, 25, 14, 33, 45, 13]","[30, 31, 11, 9, 18, 42, 35, 7]","[8, 29, 6, 41, 34, 33, 30, 38]","[5, 30, 31, 22, 35, 9, 35, 45]"
13,0.8125,0.5,0.25,"[17, 4, 42, 4, 8, 38, 29, 48]","[23, 10, 19, 29, 30, 33, 26, 21]","[18, 10, 19, 28, 25, 23, 36, 17]","[9, 21, 5, 41, 28, 32, 27, 34]","[23, 2, 7, 20, 34, 16, 11, 29]"
14,0.75,0.5,0.0,"[2, 34, 1, 10, 42, 27, 42, 41]","[10, 22, 5, 39, 27, 32, 25, 32]","[23, 25, 20, 23, 34, 20, 26, 19]","[29, 24, 49, 32, 2, 23, 47, 20]","[26, 30, 9, 17, 26, 40, 28, 15]"
15,0.6666666666666666,0.4999999999999999,0.20833333333333334,"[28, 23, 48, 30, 4, 22, 44, 20]","[22, 46, 15, 27, 27, 31, 35, 45]","[25, 11, 48, 32, 34, 31, 36, 21]","[2, 22, 9, 7, 41, 43, 12, 9]","[27, 5, 10, 24, 9, 13, 38, 23]"
16,0.8333333333333334,0.49999999999999994,0.16666666666666666,"[40, 32, 24, 12, 23, 22, 38, 38]","[46, 35, 4, 17, 24, 47, 28, 25]","[12, 25, 5, 22, 26, 17, 10, 21]","[28, 23, 48, 30, 4, 22, 44, 20]","[13, 2, 2, 24, 10, 38, 47, 40]"
17,0.7916666666666666,0.49999999999999994,0.25,"[41, 4, 25, 17, 26, 14, 30, 38]","[19, 25, 27, 32, 30, 38, 26, 18]","[18, 33, 27, 25, 12, 30, 32, 28]","[36, 8, 12, 15, 9, 22, 40, 22]","[37, 15, 42, 30, 35, 30, 37, 12]"
18,0.75,0.5,0.125,"[32, 29, 19, 13, 24, 21, 33, 32]","[16, 6, 21, 15, 5, 29, 28, 10]","[2, 33, 14, 11, 12, 26, 19, 24]","[10, 1, 45, 39, 49, 11, 39, 22]","[9, 18, 16, 12, 3, 18, 30, 24]"
19,0.8541666666666666,0.49999999999999983,0.20833333333333334,"[37, 10, 30, 21, 22, 18, 33, 31]","[47, 6, 2, 26, 24, 23, 18, 47]","[45, 10, 43, 21, 25, 27, 9, 36]","[40, 25, 29, 29, 29, 18, 17, 43]","[23, 23, 20, 24, 11, 44, 41, 33]"
20,0.8541666666666666,0.5,0.25,"[17, 22, 15, 25, 15, 41, 39, 35]","[30, 28, 24, 19, 28, 27, 34, 27]","[37, 10, 30, 21, 22, 18, 33, 31]","[21, 37, 26, 6, 25, 24, 23, 32]","[48, 18, 0, 42, 7, 28, 31, 31]"
21,0.8125,0.4999999999999999,0.125,"[16, 29, 18, 30, 9, 42, 43, 25]","[26, 22, 22, 14, 28, 36, 29, 22]","[32, 16, 4, 13, 5, 46, 39, 30]","[17, 22, 15, 25, 15, 41, 39, 35]","[44, 37, 25, 35, 9, 41, 39, 46]"
22,0.875,0.49999999999999994,0.1875,"[22, 35, 16, 17, 10, 27, 34, 25]","[13, 30, 18, 6, 0, 7, 43, 27]","[17, 22, 20, 25, 16, 39, 37, 35]","[36, 23, 26, 7, 29, 11, 8, 15]","[18, 45, 2, 2, 26, 27, 14, 18]"
23,0.7708333333333334,0.5,0.08333333333333333,"[24, 32, 17, 16, 16, 29, 33, 24]","[4, 20, 20, 25, 27, 43, 8, 42]","[22, 35, 16, 17, 10, 27, 34, 25]","[17, 23, 20, 26, 17, 38, 37, 34]","[12, 15, 18, 7, 15, 31, 21, 37]"
24,0.7083333333333334,0.5000000000000001,0.20833333333333334,"[24, 32, 17, 16, 16, 29, 33, 24]","[13, 9, 9, 40, 26, 36, 27, 36]","[22, 33, 28, 35, 34, 40, 24, 27]","[38, 31, 25, 12, 26, 22, 32, 30]","[35, 14, 13, 18, 22, 17, 32, 25]"
25,0.8125,0.5000000000000001,0.25,"[35, 15, 50, 23, 26, 0, 29, 15]","[24, 32, 17, 16, 16, 29, 33, 24]","[5, 49, 47, 9, 25, 21, 14, 13]","[37, 29, 34, 14, 16, 32, 37, 10]","[34, 29, 36, 16, 21, 28, 10, 39]"
26,0.7708333333333334,0.5,0.20833333333333334,"[35, 15, 50, 23, 26, 0, 29, 15]","[13, 37, 16, 16, 27, 29, 19, 16]","[34, 29, 35, 16, 22, 29, 10, 39]","[17, 43, 20, 21, 31, 28, 18, 34]","[25, 18, 20, 18, 43, 35, 13, 24]"
27,0.8333333333333334,0.5,0.08333333333333333,"[15, 23, 34, 26, 15, 9, 20, 32]","[35, 15, 50, 23, 26, 0, 29, 15]","[13, 38, 20, 17, 25, 26, 28, 14]","[30, 35, 19, 19, 25, 28, 19, 28]","[48, 19, 21, 17, 8, 41, 35, 5]"
28,0.7708333333333334,0.5,0.22916666666666666,"[49, 0, 14, 26, 11, 30, 19, 50]","[32, 18, 23, 11, 39, 46, 36, 19]","[43, 39, 18, 33, 3, 0, 27, 43]","[15, 1, 40, 15, 22, 34, 41, 9]","[17, 34, 20, 16, 28, 30, 29, 15]"
29,0.7916666666666666,0.5,0.22916666666666666,"[29, 22, 22, 27, 26, 32, 13, 24]","[5, 32, 25, 26, 35, 16, 34, 20]","[49, 0, 14, 26, 11, 30, 19, 50]","[17, 9, 34, 15, 24, 32, 38, 10]","[43, 11, 4, 44, 37, 32, 24, 23]"
30,0.875,0.5000000000000001,0.14583333333333334,"[22, 34, 15, 24, 30, 24, 23, 18]","[20, 43, 18, 13, 31, 37, 23, 23]","[34, 16, 21, 7, 39, 47, 37, 20]","[11, 43, 24, 49, 1, 48, 31, 0]","[20, 26, 18, 20, 24, 31, 25, 16]"
31,0.75,0.5000000000000001,0.16666666666666666,"[39, 20, 10, 35, 0, 45, 34, 18]","[48, 10, 17, 24, 38, 17, 20, 47]","[22, 24, 2, 49, 33, 24, 44, 25]","[47, 3, 30, 35, 48, 50, 28, 39]","[25, 24, 14, 14, 19, 36, 30, 17]"
32,0.8541666666666666,0.4999999999999999,0.20833333333333334,"[22, 34, 15, 24, 30, 24, 23, 18]","[16, 11, 10, 40, 12, 25, 28, 49]","[39, 20, 10, 35, 0, 45, 34, 18]","[21, 40, 44, 23, 36, 22, 39, 30]","[46, 33, 50, 27, 5, 30, 49, 9]"
33,0.8958333333333334,0.5,0.1875,"[36, 35, 5, 10, 13, 23, 8, 15]","[32, 27, 23, 31, 13, 36, 36, 22]","[34, 12, 22, 30, 29, 37, 26, 26]","[16, 46, 19, 11, 25, 16, 49, 14]","[34, 13, 21, 26, 25, 27, 19, 25]"
34,0.9166666666666666,0.49999999999999983,0.125,"[36, 15, 21, 25, 24, 29, 19, 23]","[16, 5, 9, 29, 36, 23, 46, 49]","[21, 13, 19, 35, 29, 27, 36, 32]","[36, 35, 5, 10, 13, 23, 8, 15]","[17, 31, 1, 48, 15, 31, 44, 45]"
35,0.7916666666666666,0.5,0.22916666666666666,"[31, 16, 7, 18, 8, 27, 37, 36]","[31, 37, 45, 28, 33, 18, 33, 21]","[9, 38, 3, 42, 20, 25, 30, 15]","[36, 15, 21, 25, 24, 29, 19, 23]","[30, 42, 21, 15, 20, 5, 10, 20]"
36,0.8333333333333334,0.49999999999999994,0.2916666666666667,"[26, 34, 13, 30, 29, 25, 44, 20]","[31, 16, 7, 18, 8, 27, 37, 36]","[35, 42, 12, 0, 34, 48, 33, 9]","[27, 28, 15, 41, 14, 35, 38, 16]","[25, 24, 27, 20, 41, 22, 25, 27]"
37,0.7916666666666666,0.5000000000000001,0.22916666666666666,"[33, 30, 46, 26, 34, 21, 27, 17]","[18, 18, 7, 42, 10, 46, 0, 43]","[47, 10, 27, 34, 8, 26, 26, 4]","[41, 9, 21, 30, 30, 34, 33, 24]","[9, 46, 14, 14, 20, 32, 48, 35]"
38,0.7916666666666666,0.5,0.20833333333333334,"[44, 13, 26, 32, 9, 26, 28, 7]","[17, 36, 9, 17, 14, 33, 43, 32]","[19, 27, 0, 16, 19, 20, 8, 32]","[18, 21, 20, 36, 28, 35, 40, 20]","[47, 29, 45, 3, 49, 45, 21, 13]"
39,0.7708333333333334,0.5,0.20833333333333334,"[27, 27, 4, 35, 21, 26, 35, 11]","[28, 31, 31, 26, 27, 23, 32, 18]","[33, 23, 16, 20, 26, 37, 23, 24]","[34, 9, 47, 25, 19, 25, 27, 14]","[46, 29, 44, 4, 49, 45, 21, 13]"
40,0.7708333333333334,0.49999999999999994,0.125,"[47, 35, 47, 28, 27, 23, 49, 28]","[26, 29, 29, 28, 27, 25, 33, 18]","[34, 26, 20, 31, 20, 31, 6, 50]","[48, 9, 14, 50, 20, 30, 41, 0]","[21, 9, 50, 27, 22, 41, 44, 9]"
41,0.75,0.5,0.25,"[5, 29, 11, 12, 27, 34, 44, 42]","[18, 12, 45, 26, 27, 41, 44, 14]","[49, 20, 35, 24, 18, 12, 46, 30]","[16, 17, 39, 19, 21, 20, 49, 13]","[15, 21, 24, 28, 35, 36, 41, 23]"
42,0.7916666666666666,0.5,0.20833333333333334,"[48, 26, 32, 27, 20, 11, 36, 35]","[24, 28, 38, 10, 27, 20, 12, 28]","[31, 2, 41, 20, 41, 27, 32, 30]","[23, 32, 16, 19, 28, 29, 26, 25]","[43, 18, 31, 22, 22, 13, 43, 31]"
43,0.8541666666666666,0.49999999999999994,0.20833333333333334,"[21, 31, 45, 50, 0, 40, 47, 36]","[30, 26, 29, 15, 27, 23, 27, 25]","[42, 28, 23, 13, 24, 42, 48, 38]","[35, 50, 20, 6, 9, 36, 43, 47]","[27, 3, 0, 35, 35, 15, 28, 20]"
44,0.75,0.4999999999999999,0.16666666666666666,"[19, 9, 33, 31, 26, 18, 30, 14]","[6, 36, 29, 18, 25, 27, 48, 26]","[29, 32, 17, 14, 25, 23, 26, 20]","[41, 10, 32, 30, 9, 37, 37, 24]","[15, 29, 9, 13, 4, 44, 23, 23]"
45,0.8333333333333334,0.49999999999999994,0.20833333333333334,"[19, 9, 33, 31, 26, 18, 30, 14]","[29, 32, 18, 14, 25, 24, 26, 20]","[7, 35, 29, 18, 25, 27, 47, 26]","[16, 32, 20, 29, 35, 30, 25, 46]","[38, 18, 25, 22, 20, 8, 17, 17]"
46,0.7916666666666666,0.49999999999999994,0.10416666666666667,"[19, 9, 33, 31, 26, 18, 30, 14]","[32, 32, 17, 41, 42, 27, 42, 22]","[25, 31, 17, 20, 25, 21, 26, 23]","[12, 32, 20, 2, 50, 17, 30, 37]","[37, 33, 8, 5, 43, 25, 22, 17]"
47,0.8541666666666666,0.5000000000000001,0.16666666666666666,"[42, 28, 14, 35, 23, 28, 25, 49]","[19, 9, 33, 31, 26, 18, 30, 14]","[33, 33, 25, 34, 21, 47, 38, 49]","[21, 3, 15, 17, 35, 49, 3, 22]","[21, 34, 31, 21, 42, 28, 35, 27]"
48,0.75,0.4999999999999999,0.16666666666666666,"[32, 22, 13, 36, 41, 26, 16, 37]","[38, 23, 20, 25, 28, 16, 24, 25]","[19, 9, 33, 31, 26, 18, 30, 14]","[37, 14, 34, 28, 40, 25, 16, 33]","[24, 9, 33, 28, 3, 30, 30, 27]"
49,0.7916666666666666,0.5000000000000001,0.20833333333333334,"[30, 19, 17, 34, 32, 27, 19, 35]","[21, 10, 31, 29, 27, 18, 30, 15]","[31, 20, 26, 30, 24, 8, 36, 20]","[22, 37, 12, 0, 4, 50, 46, 1]","[12, 12, 22, 45, 35, 16, 25, 49]"
50,0.75,0.5,0.14583333333333334,"[30, 19, 17, 34, 32, 27, 19, 35]","[25, 37, 31, 28, 31, 28, 38, 16]","[36, 13, 33, 28, 38, 33, 18, 15]","[21, 23, 14, 40, 33, 9, 22, 37]","[33, 21, 13, 36, 35, 45, 46, 29]"
51,0.75,0.4999999999999999,0.20833333333333334,"[21, 6, 15, 29, 21, 22, 40, 37]","[42, 1, 42, 39, 11, 19, 20, 31]","[28, 20, 32, 28, 40, 21, 16, 20]","[22, 35, 16, 10, 18, 33, 35, 16]","[20, 27, 26, 50, 48, 15, 33, 38]"
52,0.7916666666666666,0.49999999999999994,0.125,"[13, 21, 33, 5, 21, 3, 47, 49]","[32, 10, 33, 29, 9, 20, 20, 29]","[35, 30, 23, 18, 32, 32, 25, 29]","[33, 4, 5, 42, 33, 30, 18, 50]","[43, 24, 7, 43, 27, 20, 32, 13]"
53,0.7916666666666666,0.5000000000000001,0.20833333333333334,"[8, 12, 34, 25, 27, 10, 27, 41]","[38, 7, 15, 21, 7, 21, 31, 23]","[29, 27, 24, 35, 31, 43, 29, 31]","[13, 21, 33, 5, 21, 3, 47, 49]","[26, 16, 13, 28, 19, 34, 32, 17]"
54,0.7916666666666666,0.5000000000000001,0.16666666666666666,"[39, 39, 20, 19, 24, 26, 48, 30]","[38, 41, 15, 24, 22, 21, 34, 20]","[33, 37, 50, 36, 29, 44, 42, 27]","[9, 15, 30, 26, 27, 9, 25, 38]","[8, 12, 34, 25, 27, 10, 27, 41]"
55,0.7916666666666666,0.49999999999999994,0.1875,"[27, 49, 31, 8, 29, 17, 46, 28]","[19, 16, 16, 23, 30, 9, 32, 25]","[35, 42, 25, 19, 37, 28, 16, 13]","[29, 35, 16, 23, 29, 19, 29, 20]","[17, 40, 34, 18, 49, 49, 32, 49]"
56,0.7916666666666666,0.49999999999999994,0.1875,"[30, 36, 16, 23, 28, 19, 30, 20]","[50, 29, 15, 24, 40, 23, 27, 36]","[12, 14, 42, 21, 27, 1, 2, 41]","[20, 13, 40, 21, 20, 10, 26, 48]","[19, 36, 13, 37, 35, 26, 1, 32]"
57,0.7083333333333334,0.5,0.16666666666666666,"[34, 42, 47, 39, 26, 31, 49, 21]","[30, 36, 16, 23, 28, 19, 30, 20]","[5, 17, 7, 50, 26, 36, 21, 24]","[24, 47, 33, 9, 27, 19, 46, 29]","[11, 13, 46, 39, 24, 41, 45, 7]"
58,0.7708333333333334,0.5000000000000001,0.125,"[12, 14, 43, 39, 24, 40, 42, 7]","[7, 35, 8, 37, 24, 43, 34, 43]","[32, 7, 3, 7, 50, 13, 39, 25]","[10, 24, 15, 39, 29, 34, 16, 28]","[40, 22, 32, 22, 20, 28, 35, 35]"
59,0.9166666666666666,0.5000000000000001,0.08333333333333333,"[6, 44, 29, 31, 22, 34, 48, 21]","[1, 3, 37, 43, 46, 32, 44, 22]","[28, 18, 22, 39, 50, 32, 27, 33]","[35, 47, 18, 26, 26, 23, 41, 25]","[13, 12, 25, 18, 25, 9, 23, 31]"
60,0.7916666666666666,0.5000000000000001,0.16666666666666666,"[26, 17, 35, 29, 20, 10, 49, 10]","[6, 44, 29, 31, 22, 34, 48, 21]","[20, 12, 27, 27, 22, 31, 33, 24]","[22, 0, 47, 43, 10, 47, 45, 21]","[12, 24, 20, 9, 27, 21, 10, 35]"
61,0.75,0.4999999999999999,0.125,"[26, 17, 35, 29, 20, 10, 49, 10]","[45, 27, 3, 40, 15, 41, 9, 38]","[26, 17, 35, 29, 20, 10, 49, 10]","[9, 37, 37, 49, 42, 29, 41, 10]","[13, 4, 4, 40, 18, 24, 33, 28]"
62,0.8333333333333334,0.49999999999999994,0.20833333333333334,"[21, 35, 18, 16, 20, 11, 22, 20]","[17, 18, 4, 2, 20, 9, 43, 23]","[29, 11, 34, 31, 19, 26, 45, 10]","[22, 0, 45, 43, 10, 46, 45, 21]","[23, 2, 44, 40, 14, 43, 45, 23]"
63,0.9166666666666666,0.4999999999999999,0.25,"[26, 7, 45, 35, 17, 41, 43, 22]","[32, 21, 26, 19, 37, 18, 44, 37]","[11, 21, 8, 34, 28, 28, 9, 30]","[23, 5, 41, 38, 16, 42, 42, 23]","[25, 47, 45, 48, 49, 46, 32, 21]"
64,0.9166666666666666,0.5000000000000001,0.10416666666666667,"[26, 7, 45, 35, 17, 41, 43, 22]","[24, 15, 29, 23, 19, 17, 36, 18]","[26, 36, 38, 19, 32, 19, 24, 9]","[28, 11, 46, 31, 19, 39, 41, 21]","[29, 33, 1, 30, 10, 47, 28, 9]"
65,0.7916666666666666,0.5000000000000001,0.25,"[26, 7, 45, 35, 17, 41, 43, 22]","[40, 33, 48, 42, 33, 49, 44, 9]","[17, 8, 32, 17, 17, 11, 26, 22]","[28, 13, 35, 26, 23, 29, 41, 27]","[39, 9, 29, 39, 4, 7, 31, 21]"
66,0.875,0.5,0.125,"[26, 7, 45, 35, 17, 41, 43, 22]","[45, 22, 31, 45, 37, 47, 35, 35]","[37, 24, 29, 30, 32, 37, 29, 23]","[27, 13, 31, 25, 24, 25, 41, 28]","[29, 16, 20, 28, 21, 19, 14, 37]"
67,0.875,0.5000000000000001,0.14583333333333334,"[26, 8, 44, 35, 17, 41, 43, 22]","[28, 17, 23, 35, 23, 25, 38, 18]","[27, 18, 33, 18, 4, 34, 36, 35]","[29, 15, 31, 26, 25, 27, 39, 27]","[24, 22, 13, 13, 20, 25, 33, 26]"
68,0.875,0.49999999999999994,0.14583333333333334,"[26, 8, 44, 35, 17, 41, 43, 22]","[3, 22, 11, 23, 14, 31, 20, 36]","[30, 11, 17, 50, 49, 32, 18, 21]","[42, 27, 38, 29, 29, 15, 32, 37]","[20, 22, 22, 33, 1, 22, 18, 44]"
69,0.9166666666666666,0.5,0.16666666666666666,"[26, 8, 44, 35, 17, 41, 43, 22]","[43, 28, 16, 22, 25, 27, 15, 24]","[28, 4, 38, 31, 2, 49, 29, 7]","[0, 20, 1, 12, 32, 9, 19, 47]","[45, 34, 24, 29, 30, 35, 23, 31]"
70,0.7708333333333334,0.5000000000000001,0.20833333333333334,"[1, 20, 2, 12, 31, 10, 20, 46]","[26, 8, 44, 35, 17, 41, 43, 22]","[26, 22, 7, 8, 13, 23, 36, 28]","[49, 15, 18, 36, 16, 26, 42, 49]","[33, 8, 5, 42, 28, 23, 21, 34]"
71,0.7291666666666666,0.5,0.25,"[27, 34, 10, 19, 7, 38, 31, 41]","[21, 2, 50, 11, 11, 50, 26, 24]","[8, 35, 28, 38, 18, 34, 20, 18]","[26, 15, 18, 24, 25, 26, 21, 34]","[3, 19, 5, 13, 30, 11, 21, 44]"
72,0.7708333333333334,0.49999999999999994,0.08333333333333333,"[30, 23, 26, 24, 30, 40, 17, 47]","[14, 28, 7, 16, 17, 31, 29, 23]","[10, 21, 22, 20, 30, 48, 6, 30]","[13, 26, 28, 43, 43, 37, 23, 25]","[40, 22, 22, 25, 28, 24, 39, 32]"
73,0.7916666666666666,0.5,0.16666666666666666,"[28, 18, 33, 33, 9, 38, 36, 35]","[30, 23, 26, 24, 30, 40, 17, 47]","[21, 24, 27, 33, 38, 40, 17, 48]","[28, 14, 19, 14, 7, 17, 18, 31]","[15, 26, 25, 21, 12, 18, 45, 8]"
74,0.7916666666666666,0.49999999999999994,0.22916666666666666,"[16, 26, 26, 24, 24, 38, 22, 27]","[33, 22, 39, 29, 5, 26, 28, 32]","[29, 22, 30, 25, 22, 28, 28, 33]","[35, 49, 31, 28, 27, 1, 40, 4]","[19, 25, 27, 24, 12, 17, 38, 12]"
75,0.9166666666666666,0.5000000000000001,0.08333333333333333,"[47, 10, 27, 27, 31, 40, 32, 35]","[16, 26, 26, 24, 24, 38, 22, 27]","[26, 24, 14, 17, 11, 5, 32, 16]","[44, 19, 27, 21, 11, 27, 14, 27]","[31, 17, 44, 11, 40, 22, 27, 15]"
76,0.7916666666666666,0.5,0.20833333333333334,"[46, 13, 29, 26, 29, 33, 28, 37]","[27, 34, 17, 22, 30, 18, 36, 31]","[22, 13, 27, 10, 23, 21, 25, 14]","[17, 20, 0, 12, 34, 2, 13, 43]","[14, 27, 6, 24, 17, 28, 28, 43]"
77,0.8333333333333334,0.49999999999999994,0.1875,"[49, 27, 9, 5, 5, 25, 24, 36]","[46, 13, 29, 26, 29, 33, 28, 37]","[44, 14, 29, 25, 29, 31, 28, 35]","[38, 28, 5, 47, 13, 19, 0, 30]","[33, 1, 13, 16, 25, 32, 44, 11]"
78,0.75,0.4999999999999999,0.16666666666666666,"[45, 21, 18, 13, 15, 29, 28, 34]","[36, 38, 8, 15, 16, 37, 44, 6]","[35, 10, 39, 27, 9, 34, 42, 14]","[19, 24, 24, 37, 34, 31, 37, 33]","[32, 44, 26, 17, 40, 28, 38, 15]"
79,0.7916666666666666,0.5000000000000001,0.16666666666666666,"[20, 9, 37, 8, 37, 26, 22, 7]","[32, 21, 16, 21, 25, 21, 32, 35]","[45, 21, 18, 13, 15, 29, 28, 34]","[45, 21, 18, 13, 15, 29, 28, 34]","[28, 25, 2, 0, 4, 17, 31, 23]"
80,0.7708333333333334,0.5000000000000001,0.20833333333333334,"[45, 11, 29, 42, 8, 15, 20, 34]","[43, 41, 23, 13, 23, 18, 45, 27]","[32, 21, 16, 21, 25, 21, 32, 35]","[37, 36, 29, 19, 19, 19, 38, 34]","[40, 9, 22, 31, 37, 5, 40, 32]"
81,0.8541666666666666,0.5,0.125,"[38, 48, 13, 6, 9, 5, 26, 44]","[21, 26, 8, 12, 21, 31, 37, 29]","[6, 31, 16, 47, 42, 6, 36, 25]","[9, 25, 17, 32, 22, 18, 19, 22]","[45, 39, 17, 17, 43, 35, 37, 30]"
82,0.8541666666666666,0.4999999999999999,0.16666666666666666,"[38, 48, 13, 6, 9, 5, 26, 44]","[38, 40, 26, 7, 29, 13, 26, 43]","[26, 29, 15, 17, 10, 37, 25, 3]","[9, 27, 22, 19, 11, 32, 37, 50]","[5, 24, 32, 34, 25, 36, 31, 16]"
83,0.7708333333333334,0.5000000000000001,0.16666666666666666,"[47, 13, 38, 40, 20, 21, 39, 29]","[38, 46, 12, 8, 9, 6, 24, 42]","[9, 27, 22, 19, 11, 32, 36, 49]","[21, 16, 9, 42, 9, 35, 26, 10]","[14, 35, 4, 36, 19, 42, 32, 46]"
84,0.9166666666666666,0.5,0.20833333333333334,"[0, 30, 17, 38, 12, 41, 39, 40]","[18, 7, 11, 26, 2, 45, 37, 31]","[30, 49, 24, 33, 5, 45, 38, 11]","[10, 50, 11, 20, 23, 4, 27, 12]","[31, 19, 24, 31, 32, 39, 37, 17]"
85,0.8333333333333334,0.49999999999999994,0.08333333333333333,"[31, 20, 25, 25, 22, 32, 32, 12]","[0, 30, 17, 38, 12, 41, 39, 40]","[4, 22, 32, 46, 45, 5, 31, 47]","[14, 8, 39, 37, 27, 44, 37, 27]","[14, 10, 41, 37, 50, 33, 21, 24]"
86,0.7083333333333334,0.49999999999999994,0.20833333333333334,"[27, 50, 41, 22, 37, 19, 12, 31]","[50, 34, 49, 29, 49, 21, 20, 22]","[36, 0, 11, 17, 26, 39, 7, 26]","[4, 22, 32, 46, 45, 5, 31, 47]","[36, 26, 32, 20, 20, 21, 35, 45]"
