Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
0,0.625,0.5,0.375,"[24, 16, 20, 23, 18, 14, 13, 20]","[17, 20, 14, 18, 23, 15, 16, 18]","[22, 21, 20, 15, 16, 14, 24, 22]","[25, 20, 19, 13, 24, 23, 15, 15]","[23, 23, 21, 15, 14, 19, 17, 22]"
0,0.8125,0.5,0.1875,"[20, 15, 21, 18, 20, 23, 22, 23]","[14, 20, 13, 13, 15, 20, 16, 17]","[15, 13, 17, 20, 19, 22, 20, 19]","[25, 23, 21, 20, 19, 24, 24, 25]","[17, 24, 23, 13, 18, 18, 22, 25]"
1,0.5625,0.5,0.4375,"[20, 15, 21, 18, 20, 23, 22, 23]","[22, 22, 19, 18, 18, 23, 22, 23]","[15, 13, 17, 20, 19, 22, 20, 4]","[14, 20, 13, 13, 15, 20, 16, 17]","[29, 21, 6, 35, 43, 21, 18, 40]"
2,0.6875,0.5,0.375,"[20, 21, 6, 41, 7, 21, 44, 24]","[20, 15, 21, 18, 20, 23, 22, 23]","[17, 20, 12, 17, 20, 20, 16, 21]","[29, 21, 6, 35, 43, 21, 18, 40]","[26, 21, 7, 31, 38, 21, 18, 36]"
3,0.625,0.5,0.4375,"[2, 4, 13, 30, 32, 22, 10, 35]","[20, 21, 6, 41, 7, 21, 44, 24]","[20, 21, 6, 39, 8, 21, 42, 24]","[17, 20, 12, 19, 19, 20, 18, 21]","[24, 18, 14, 26, 31, 22, 20, 31]"
4,0.6875,0.5,0.3125,"[18, 19, 7, 38, 10, 21, 39, 25]","[19, 20, 6, 41, 8, 21, 42, 24]","[2, 4, 13, 30, 32, 22, 10, 35]","[3, 5, 13, 30, 31, 22, 12, 35]","[4, 6, 12, 31, 30, 22, 13, 34]"
5,0.5625,0.5,0.4375,"[18, 19, 7, 38, 10, 21, 39, 25]","[17, 18, 7, 38, 11, 21, 38, 25]","[17, 7, 32, 31, 29, 22, 14, 34]","[4, 6, 13, 31, 30, 22, 14, 34]","[18, 50, 6, 40, 41, 45, 40, 19]"
6,0.75,0.5,0.375,"[14, 5, 13, 31, 27, 22, 14, 10]","[18, 19, 7, 38, 10, 21, 39, 25]","[18, 19, 7, 38, 10, 21, 39, 25]","[4, 6, 13, 31, 30, 22, 14, 34]","[33, 18, 25, 38, 11, 2, 25, 25]"
7,0.75,0.5,0.25,"[14, 5, 13, 31, 27, 22, 14, 10]","[19, 8, 16, 33, 23, 17, 17, 14]","[28, 15, 22, 36, 15, 7, 22, 21]","[9, 1, 11, 34, 23, 22, 49, 31]","[13, 14, 9, 35, 17, 21, 30, 28]"
8,0.8125,0.5,0.1875,"[14, 5, 13, 31, 27, 22, 14, 10]","[17, 10, 14, 34, 21, 18, 21, 19]","[11, 13, 25, 35, 20, 11, 20, 0]","[15, 12, 11, 34, 19, 20, 26, 23]","[22, 11, 18, 34, 20, 13, 19, 17]"
9,0.625,0.5,0.3125,"[14, 5, 13, 31, 27, 22, 14, 10]","[16, 8, 14, 33, 24, 20, 18, 15]","[15, 7, 13, 32, 24, 20, 17, 14]","[17, 10, 14, 34, 21, 18, 21, 19]","[17, 10, 14, 34, 21, 18, 21, 19]"
0,0.625,0.5,0.25,"[23, 14, 15, 21, 14, 14, 20, 21]","[13, 16, 15, 20, 20, 13, 24, 13]","[25, 23, 20, 22, 15, 22, 18, 25]","[18, 14, 22, 17, 13, 20, 19, 22]","[19, 23, 14, 16, 21, 20, 25, 21]"
