Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
0,-8,-92.6,-272,"[40, -8, 15, -24, -15, 29, 39, 32]","[27, 35, -36, -10, 21, -2, 20, 29]","[42, 20, 23, 37, 22, 6, -31, -44]","[34, 45, -34, 43, 35, 27, -8, -15]","[32, 17, 39, 48, 48, 47, -45, -48]","[28, 13, 44, 23, -43, 0, 11, -17]","[28, 50, 15, 44, -45, 28, 50, -26]","[-8, 24, 1, -41, 49, 21, -10, 15]","[44, 21, 1, -16, -9, -17, -1, 22]","[48, -25, -28, -3, 39, -14, 37, -46]"
1,-7,-76.1,-193,"[36, 35, -36, -10, 21, -2, 20, 29]","[40, -8, 15, -24, -15, 29, 39, 32]","[42, 20, 23, 37, 22, 6, -31, -11]","[40, -8, 15, -24, -15, 29, 39, 16]","[40, -8, 15, -24, -15, 29, 39, 32]","[32, 17, 15, 44, -45, 28, 50, -26]","[7, 50, 15, 44, 21, -2, 20, 0]","[27, -19, 38, 7, 4, -12, -46, 45]","[28, 50, 39, 48, 48, 47, -45, -48]","[7, -8, 15, 6, -15, 29, 39, -48]"
2,-1,-48.0,-111,"[27, 35, -36, -10, -15, 29, 39, 32]","[36, 35, -36, -10, 21, -2, 20, 29]","[27, -19, 38, -24, -15, 29, 39, 32]","[27, 17, 15, 44, -45, 28, 50, -26]","[40, 6, -36, 0, 21, 7, 20, 29]","[32, 17, 15, 44, -15, 29, 39, -48]","[-32, 35, 15, -24, -15, 29, 39, 32]","[32, 17, 39, -24, -15, 29, 39, 32]","[32, -19, 38, 7, 4, -12, -46, 45]","[27, 11, 38, -13, -30, -42, 39, 16]"
3,-1,-43.0,-143,"[27, 35, -36, -10, -15, 29, 39, 32]","[36, 35, 15, 6, -45, 28, 50, -26]","[36, 35, -36, -10, 21, 7, 20, 29]","[32, 17, 15, -24, -15, 29, 39, 16]","[36, 35, -36, -10, -15, 29, 39, 32]","[27, 17, 15, 44, -45, 28, -46, 45]","[27, 35, -36, -10, 21, -2, 20, 29]","[40, 6, 2, 0, 21, 0, 20, 29]","[27, 17, 15, 6, -45, 28, 50, -26]","[7, -8, 15, 44, -45, 28, 50, -26]"
4,-1,-38.1,-134,"[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[32, 17, 15, -24, -15, 29, 39, 16]","[27, 17, 15, 44, -45, 28, 50, -26]","[27, 35, -36, -10, -15, 29, 39, 16]","[27, 35, -36, -10, 21, -2, 20, 29]","[7, -8, 15, 6, -45, 28, 50, 29]","[10, 17, 15, -24, -15, 29, 39, 9]","[27, -19, 38, -10, -15, 29, 39, 32]","[27, 17, 15, 44, -15, 47, -45, 32]"
5,-1,-34.05,-77,"[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[7, 17, 15, 44, -15, 47, -45, 32]","[32, 17, 15, -24, -15, 29, 39, 16]","[27, 35, -36, -10, 21, -2, 20, 32]","[27, 17, 4, 7, -45, 28, 1, 45]","[27, 17, 15, -10, -15, 29, 39, 16]","[36, 0, 5, 5, 1, 5, 39, 29]","[27, 17, 15, 44, -15, 47, -45, 32]","[27, 35, -36, 44, -45, 28, 50, -26]"
6,-1,-36.05,-95,"[27, 35, -36, -10, -15, 29, 39, 32]","[27, -19, 38, -10, -15, 7, 39, 32]","[32, 17, 15, -24, 4, 6, 20, 29]","[27, 35, -36, -10, -15, 29, 39, 29]","[27, -19, 38, -10, 4, 6, 20, 29]","[36, 0, 5, -24, -15, 29, 39, 16]","[8, 8, 15, 4, -15, 8, 39, 16]","[27, 17, 15, -10, -15, 29, 39, 16]","[32, 17, 15, 5, 1, 5, 39, 9]","[32, 17, 15, -10, -15, 29, 39, 16]"
7,-1,-20.75,-55,"[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 29]","[32, 17, 15, -24, -15, 7, 39, 32]","[32, 17, 15, -24, 4, 28, 50, -26]","[27, -19, 38, -10, 4, 6, 20, 29]","[32, 35, -36, -10, -15, 29, 39, 32]","[27, 9, 10, 3, 4, 6, 20, 29]","[27, 35, -36, 5, 1, 5, 39, 32]","[36, 0, 5, -10, -15, 29, 39, 32]","[27, -19, 38, -10, -15, 29, 39, 29]"
8,-1,-19.15,-46,"[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[27, -19, 38, -10, -15, 29, 20, 29]","[27, 35, -36, -10, -15, 29, 39, 29]","[27, 35, -36, 5, 1, 5, 39, 32]","[27, 9, 10, 3, 4, 6, 20, 29]","[36, 0, 5, -10, 4, 6, 20, 29]","[36, 0, 5, -10, -15, 29, 39, 32]","[27, 17, 15, -10, -15, 29, 39, 16]","[27, -19, 38, -10, -15, 29, 39, 29]"
9,-1,-16.85,-60,"[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[27, 35, -36, -10, -15, 29, 39, 32]","[36, 0, 5, 3, 4, 6, 20, 29]","[27, 9, 10, 3, 4, 6, 20, 29]","[36, 0, 5, -10, 4, 6, 20, 29]","[27, 35, -36, -10, -15, 29, 39, 16]"
0,-5,-96.0,-245,"[2, 43, 9, 40, -40, 38, -39, 42]","[26, 19, 46, 41, -38, -21, -14, 32]","[24, 24, 19, -6, 12, -28, 17, 49]","[46, 34, -44, -10, 10, 21, -16, 46]","[50, -15, 30, 26, 0, 14, 22, -42]","[5, 12, 21, 36, -46, 11, 2, 33]","[-8, -37, 42, -24, 30, 45, 47, 49]","[12, 29, 12, -16, -36, -39, 38, 47]","[-40, -42, 47, 49, 20, -22, 29, 4]","[25, -18, -25, -4, 39, 17, 27, -42]"
1,-2,-39.2,-92,"[2, 43, 21, 36, -46, 11, 2, 33]","[2, 43, 9, 40, -40, 38, -39, 42]","[2, 43, 9, 40, -46, 11, 2, 33]","[46, 34, -44, -10, 10, 21, -16, 49]","[10, 12, 21, 36, -40, 38, 4, 7]","[46, 12, 21, 36, -46, 11, 2, 33]","[46, 26, 9, 40, -40, 38, -39, 42]","[24, 24, 19, -6, 12, -28, 17, 6]","[5, 12, 9, 40, -40, 38, -39, 42]","[-8, -37, 42, -24, 30, 45, 47, 46]"
2,-2,-53.25,-132,"[2, 43, 21, 36, -46, 11, 2, 33]","[2, 43, 9, 40, -40, 38, -39, 42]","[46, 34, -44, -10, 10, 21, -16, 49]","[46, 12, 21, 36, -46, 38, -39, 42]","[46, 26, 9, 40, -40, 38, -39, 42]","[3, 24, 19, -6, 48, -15, 4, 49]","[6, 34, 19, 2, 12, 10, 5, -24]","[46, 34, 6, -24, 30, 11, 2, 33]","[24, 24, 19, -6, -40, 38, -39, 42]","[24, 24, -44, -10, 10, 21, -16, 46]"
3,-2,-49.1,-120,"[2, 43, 21, 36, -46, 11, 2, 33]","[2, 43, 9, 40, -40, 38, -39, 42]","[2, 43, 21, 36, 12, 10, 5, -24]","[2, 43, 21, 40, -40, 38, -39, 42]","[2, 43, 8, 36, 1, 11, 8, 1]","[3, 24, 19, -6, 30, 11, 2, 33]","[46, 26, 9, 40, -40, 38, -39, 42]","[46, 26, 9, 40, -40, 38, -39, 42]","[24, 24, 6, 5, 30, 38, -39, 42]","[46, 26, 9, 40, -40, 1, 9, 46]"
4,0,-27.2,-94,"[46, 26, 9, 40, -40, 38, 5, -24]","[2, 43, 21, 36, -46, 11, 2, 33]","[2, 43, 21, 36, -46, 11, 2, 33]","[46, 26, 9, 1, 4, 1, 17, 0]","[2, 43, 9, 40, -40, 38, -42, 46]","[2, 43, 21, 36, 12, 10, 5, -24]","[2, 9, 21, 36, 12, 10, -39, 42]","[2, 43, 21, 40, -40, 38, -39, 42]","[8, 43, 8, 36, 1, 11, 8, 1]","[6, 26, 9, 40, -40, 38, -39, 42]"
5,0,-19.6,-64,"[46, 26, 9, 40, -40, 38, 5, -24]","[46, 26, 9, 40, -40, 38, 5, -24]","[3, 43, 8, 36, 1, 4, 8, 1]","[8, 43, 8, 36, -46, 11, 2, 33]","[46, 0, 8, -6, 48, -15, 4, 8]","[8, 43, 21, 36, -46, 11, 2, 33]","[2, 43, 8, 36, 1, 11, 8, 1]","[2, 43, 21, 36, 4, 1, 3, 0]","[8, 43, 8, 36, 1, 11, 8, 1]","[8, 43, 8, 36, 1, 11, 8, 1]"
6,0,-15.3,-52,"[46, 26, 9, 40, -40, 38, 5, -24]","[46, 26, 9, 40, -40, 38, 5, -24]","[3, 43, 8, 36, 1, 4, 8, 1]","[2, 43, 8, 36, 1, 11, -39, 42]","[2, 43, 9, 1, 4, 1, 2, 33]","[8, 43, 8, 36, 1, -15, 4, 8]","[46, 0, 8, -6, 48, 4, 8, 1]","[46, 26, 9, 3, -40, 38, 8, 1]","[2, 43, 21, 36, 4, 1, 3, 0]","[2, 43, 21, 36, 4, 1, 3, 0]"
7,0,-21.45,-89,"[46, 26, 9, 40, -40, 38, 5, -24]","[2, 43, 9, 40, -40, 38, 5, 1]","[46, 26, 9, 40, -40, 4, 8, 1]","[8, 43, 8, 36, 1, -15, 4, 8]","[3, 43, 8, 36, 1, 10, 5, 1]","[46, 26, 8, 36, 1, 7, -39, 6]","[8, 43, 8, 36, -46, 11, 17, 33]","[2, 43, 21, 36, 4, 1, 3, 0]","[46, 7, 9, 8, 0, 38, 5, -24]","[3, 43, 8, 36, 1, -15, 4, 8]"
8,0,-18.8,-74,"[46, 26, 9, 40, -40, 38, 5, -24]","[2, 43, 21, 36, 1, -15, 4, 8]","[2, 43, 9, 40, -40, 38, 5, 0]","[46, 26, 9, 40, -40, 4, 4, 8]","[46, 7, 8, 36, 1, -15, 4, 8]","[2, 43, 8, 36, 0, 38, 5, -24]","[8, 43, 8, 36, 1, 4, 8, 1]","[8, 43, 8, 36, 1, -15, 8, 1]","[3, 43, 21, 36, 4, 1, 3, 0]","[2, 43, 8, 36, 1, -15, 4, 8]"
9,0,-23.45,-49,"[46, 26, 9, 40, -40, 38, 5, -24]","[8, 43, 8, 36, 1, -15, 8, 8]","[46, 26, 8, 10, 1, 2, 4, 8]","[46, 26, 8, 1, 4, 1, 3, 0]","[46, 7, 8, 36, 1, -15, 4, 1]","[2, 43, 8, 36, 1, -15, 4, 8]","[2, 43, 8, 36, 1, -15, 4, 8]","[2, 43, 8, 36, 1, -15, 8, 1]","[8, 43, 8, 7, 0, 38, 5, 8]","[2, 43, 8, 36, 1, -15, 4, 1]"
0,-8,-113.5,-256,"[7, 10, 30, -21, 36, 41, 11, -22]","[-18, 45, 49, -24, -31, 46, 24, 31]","[-44, 7, 19, 15, 35, 4, -5, 35]","[35, 15, -28, 41, 21, -26, -11, 1]","[-44, -3, -41, 28, 18, 29, 34, 24]","[-19, 26, -24, 23, 3, 50, -22, 7]","[41, 34, -49, -16, 42, 4, -2, -23]","[-44, 8, 40, -19, 0, -32, 31, 39]","[10, 2, 0, -27, 29, 46, -39, -10]","[14, -46, 28, -13, -48, -6, 41, 41]"
1,-7,-78.0,-191,"[10, 5, -41, 28, 18, 29, 34, 24]","[7, 10, 30, -24, -31, 46, 24, 31]","[7, 10, 30, -21, 36, 41, 11, -22]","[20, -3, -41, 28, 18, 29, 34, 24]","[-18, 45, 49, -21, 36, 41, 11, -22]","[-8, 42, 37, -31, 3, 50, -22, 7]","[7, 10, 30, -21, 36, 41, -5, 35]","[-8, 42, 37, -31, 42, 4, -2, -23]","[20, -34, 0, 23, 3, 50, -22, 7]","[-44, 7, 19, 15, 35, 4, 11, -22]"
2,-7,-52.65,-178,"[10, 5, -41, 28, 18, 29, 34, 24]","[7, 42, 37, -31, 3, 50, -22, 7]","[7, 10, 30, -21, 36, 41, 11, -22]","[7, 10, 30, 10, 5, 41, 2, 4]","[20, 42, 37, -31, 42, 4, -2, -23]","[-8, 42, 37, -31, 42, 50, -22, 7]","[-8, 10, 30, -21, 36, 41, -5, 35]","[-44, 10, 30, -21, 36, 41, -5, 35]","[7, 10, 30, -21, 36, 41, 11, 7]","[-8, 42, 37, -31, 18, 29, 34, 24]"
3,-4,-45.15,-106,"[7, 5, -41, 28, 18, 29, 34, 24]","[-11, 50, 7, 42, 5, 0, 4, 7]","[10, 10, 30, -21, 36, 41, 11, -22]","[10, 5, -41, 28, 18, 29, 34, 24]","[-8, 42, 37, -31, 3, 41, 11, -22]","[7, 42, -41, 28, 18, 29, 11, -22]","[7, 10, 30, -21, 36, 50, -22, -22]","[7, 42, 37, -31, 42, 50, -22, 7]","[10, 42, 37, -31, 3, 50, -22, -22]","[10, 5, 37, -31, 3, 50, -22, 7]"
4,-4,-38.6,-93,"[7, 5, -41, 28, 18, 29, 34, 24]","[20, 10, 30, -21, 36, 41, 11, -22]","[6, 42, 37, -31, 3, 50, -22, 7]","[7, 10, 30, 28, 18, 29, 11, -22]","[10, 42, 30, -31, 3, 50, -22, 7]","[20, 42, 37, -31, 42, 50, -22, -22]","[7, 42, -41, 28, 36, 50, -22, -22]","[10, 10, 30, -21, 36, 41, 11, 7]","[10, 42, 37, -31, 3, 50, -22, -22]","[10, 42, 37, -31, 3, 50, -22, -22]"
5,-2,-30.35,-84,"[20, 10, 30, -21, 5, 0, 34, 24]","[7, 5, -41, 28, 18, 29, 34, 24]","[7, 5, -41, 28, 18, 29, 34, 24]","[7, 5, -41, 28, 18, 29, 34, 24]","[9, 42, 37, -31, 42, 50, -22, -22]","[10, 42, 37, -31, 42, 50, -22, -22]","[10, 10, 30, -21, 36, 41, -22, 7]","[3, 10, 30, -21, 36, 41, 11, -22]","[20, 42, 37, -31, 3, 50, -22, -22]","[6, 42, 37, -31, 3, 50, 11, 7]"
6,-2,-29.05,-83,"[20, 10, 30, -21, 5, 0, 34, 24]","[-11, 42, -41, 42, 36, 41, 11, -22]","[7, 5, -41, 28, 18, 29, 34, 24]","[20, 10, 3, -21, 18, 29, 34, 2]","[9, 42, 37, -31, 42, 50, -22, -22]","[20, 42, 37, -31, 3, 8, 9, 1]","[3, 10, 30, -21, 36, 41, 11, -22]","[2, 42, 1, -21, 36, 41, -22, 7]","[-11, 50, 7, 28, 36, 50, -22, -22]","[3, 42, 37, -31, 3, 50, 11, 7]"
7,-2,-26.55,-61,"[20, 10, 30, -21, 5, 0, 34, 24]","[7, 5, -41, 28, 18, 29, 34, 24]","[9, 42, 37, -31, 42, 50, -22, -22]","[-11, 42, 37, -31, 3, 8, 34, 24]","[6, 42, 1, -21, 36, 41, -22, 7]","[3, 10, 30, -21, 36, 41, 11, -22]","[6, 42, -41, 42, 36, 41, 11, -22]","[10, 42, -41, 28, 18, 3, 34, 24]","[3, 0, 37, -31, 3, 50, 11, 8]","[10, 10, 30, 1, 36, 0, 34, 0]"
8,-1,-31.0,-73,"[20, 10, 30, -21, 36, 41, -22, 7]","[20, 10, 30, -21, 5, 0, 34, 24]","[7, 5, -41, 28, 18, 29, 34, 24]","[20, 10, 30, -21, 5, 3, 34, 24]","[6, 42, 1, -21, 36, 41, -22, 24]","[6, 42, 1, -21, 36, 41, -22, 0]","[20, 10, 30, 0, 7, 0, 7, 9]","[10, 42, -41, 28, 18, 3, 34, 24]","[9, 42, 37, -31, 42, 41, -22, 7]","[10, 10, 30, 1, 8, 3, 2, 7]"
9,-1,-32.0,-91,"[20, 10, 30, -21, 36, 41, -22, 7]","[6, 42, 1, -21, 4, 7, 34, 24]","[10, 42, -41, 28, 5, 3, 34, 24]","[6, 42, 1, -21, 36, 41, -22, 24]","[6, 42, 1, -21, 36, 41, -22, 7]","[20, 10, 30, 3, 3, 8, 11, 4]","[6, 42, 1, -21, 36, 41, -22, 0]","[20, 10, 30, -21, 18, 3, 34, 24]","[20, 10, 30, -21, 36, 41, -22, 24]","[20, 10, 30, 0, 7, 0, 5, 9]"
0,-7,-116.05,-285,"[28, 35, 49, -5, 42, 27, -43, -26]","[47, -15, 2, -33, 48, -28, 49, 47]","[8, -6, 49, 19, -32, -11, 23, 30]","[-18, -4, -10, 9, -2, 25, 41, 16]","[-13, 13, 44, -48, 15, -1, 18, 26]","[49, 22, 22, -30, -30, 1, 19, -3]","[15, 1, 23, 30, 5, -26, -43, 42]","[50, 13, -12, -2, 11, 5, -2, -43]","[30, -47, 28, -14, 18, 31, -13, -24]","[3, 9, -15, 50, -9, -27, -50, 38]"
1,-3,-75.05,-192,"[49, 22, 28, -14, 18, 31, -13, -24]","[28, 35, 49, -5, 42, 27, -43, -26]","[49, 22, 22, -30, -1, 40, 5, -18]","[49, 22, 44, -48, 15, -1, 18, 26]","[47, -15, 2, -33, 48, -28, 49, -2]","[49, 2, 22, 2, -30, -1, 6, 3]","[9, 22, 4, 30, 9, -26, -43, 42]","[3, 1, -37, 12, 10, 9, 4, 42]","[-13, 13, 44, -48, 36, 34, -38, 5]","[15, 1, 23, 30, 5, -21, -17, -3]"
2,-3,-40.0,-109,"[49, 22, 28, -14, 18, 31, -13, -24]","[49, 13, 44, -48, 36, 34, -38, 5]","[49, 22, 28, -14, -48, 6, 27, 38]","[28, 35, 44, -48, 15, 1, 19, -3]","[49, 22, 22, -30, -1, 40, 5, -18]","[49, 22, 22, -30, -1, 40, 5, -18]","[47, -15, 8, 30, 9, 7, -43, 42]","[49, 2, 22, 2, 42, 27, -43, -26]","[47, 35, 49, -5, 42, 27, -43, -26]","[49, -46, 19, 1, 1, 6, 5, 38]"
3,-3,-35.2,-95,"[49, 22, 28, -14, 18, 31, -13, -24]","[49, 22, 22, -30, -1, 40, 5, -2]","[47, 22, 28, -14, 18, 31, -13, -24]","[49, 22, 22, -5, 42, 27, -43, -26]","[49, 22, 22, -5, 42, 27, -43, -26]","[47, -15, 8, 30, 9, 7, -43, 42]","[49, 22, 10, 30, 2, 7, -43, 5]","[49, 1, 22, -30, 5, 5, 18, 9]","[47, 35, 49, -5, 42, 27, -43, -26]","[47, 35, 49, -30, -1, 40, 5, -18]"
4,-2,-39.75,-123,"[49, 22, 22, -14, -48, 6, 27, 38]","[49, 22, 28, -14, 18, 31, -13, -24]","[47, -15, 8, 30, 5, 5, 18, 9]","[49, 22, 44, -48, 10, 9, 0, 6]","[49, 22, 28, -14, -1, 40, 5, -18]","[47, 22, 28, -14, 42, 27, -43, -26]","[49, 22, 10, 30, 2, 7, -43, 5]","[49, 22, 10, 30, 2, 7, -43, 5]","[3, -15, 8, 0, 42, 27, 7, 5]","[49, 22, 22, -5, 42, 31, -13, -24]"
5,-2,-35.95,-103,"[49, 22, 22, -14, -48, 6, 27, 38]","[49, 22, 49, -30, 18, 31, -13, -24]","[49, 22, 28, -14, 18, 31, -13, -24]","[47, 22, 28, -14, 18, 31, -13, -24]","[49, 22, 44, -48, 10, 9, 0, 5]","[47, 22, 44, -48, 10, 9, 0, 6]","[49, 22, 28, -14, -1, 40, 5, -18]","[49, 22, 28, -14, 42, 27, -43, -26]","[49, 5, 22, -14, -48, 6, 27, 38]","[49, 22, 22, -5, 42, 31, -13, -24]"
6,-2,-37.6,-88,"[49, 22, 22, -14, -48, 6, 27, 38]","[49, 22, 49, -30, 18, 31, -13, -24]","[49, 22, 28, -14, 18, 31, -13, -24]","[49, 22, 28, -14, -1, 3, 5, 4]","[49, 22, 28, 5, 2, 9, 18, -24]","[49, 22, 44, -48, 18, 31, -13, -24]","[49, 22, 10, -30, -1, 40, 5, -18]","[49, 22, 22, -5, 42, 31, -13, -24]","[49, 22, 10, -30, -1, 3, 5, 6]","[49, 22, 10, -30, -1, 3, 5, 4]"
7,-2,-36.25,-100,"[49, 22, 22, -14, -48, 6, 27, 38]","[49, 13, 5, 10, 2, 31, -13, 5]","[49, 22, 28, 5, 10, 9, 0, -26]","[47, 22, 28, 5, 2, 9, 18, -24]","[49, 22, 10, -14, -48, 6, 27, 38]","[49, 22, 22, -30, -1, 40, 5, -18]","[49, 22, 10, -30, -1, 3, 27, 38]","[49, 22, 10, -30, -1, 40, 5, -18]","[49, 22, 22, -5, 42, 31, -13, -24]","[49, 22, 49, -30, 18, 31, -13, 5]"
8,-2,-23.2,-71,"[49, 22, 22, -14, -48, 6, 27, 38]","[49, 22, 28, 5, 10, 9, 0, -26]","[49, 22, 3, 2, 6, 3, 3, 6]","[1, 1, 5, 10, 10, 31, 27, 8]","[49, 22, 28, -14, -48, 6, 27, 38]","[49, 22, 10, -14, 18, 31, -13, 5]","[49, 22, 22, 5, 10, 9, 0, -26]","[49, 22, 22, 5, 10, 9, 0, -26]","[49, 22, 22, -30, -1, 40, 5, -18]","[49, 22, 49, -30, -48, 6, 27, 38]"
9,-2,-23.35,-81,"[49, 22, 22, -14, -48, 6, 27, 38]","[49, 22, 28, 5, 10, 9, 0, -26]","[49, 22, 28, 5, 10, 9, 0, -26]","[49, 22, 28, 5, 10, 9, 0, -26]","[49, 22, 22, 5, 10, 9, 5, -26]","[49, 22, 28, -14, -48, 6, 27, 38]","[49, 22, 22, 5, 10, 9, 0, -26]","[49, 22, 22, 5, 10, 9, 0, -26]","[49, 22, 22, -30, -1, 40, 5, -18]","[49, 22, 22, 5, 10, 31, 0, -26]"
0,-7,-79.15,-275,"[49, 37, 17, -19, 42, -15, -27, 9]","[20, -11, 41, 21, -3, 26, -19, 36]","[0, 18, 1, 14, 14, -7, 0, 48]","[44, -34, 37, -4, -4, 39, 6, -1]","[20, 18, 46, 0, -7, -14, 25, 44]","[21, 48, -13, -33, 19, 44, 0, -42]","[11, 36, 48, 30, -42, -36, -16, 13]","[32, -11, -50, 32, 20, 30, -7, -5]","[-10, 25, 12, 38, 33, -3, 41, 25]","[-3, -10, 18, 28, 24, -3, 11, -29]"
1,-5,-67.85,-164,"[11, -10, 46, 0, -7, -14, 25, 44]","[49, 37, 17, -19, 42, -15, -27, 9]","[-30, -11, 33, 44, 14, -7, 0, 48]","[20, 18, -27, 17, 38, 34, 14, -42]","[44, -34, 37, -4, -4, 5, 45, -20]","[20, 37, 17, -19, 42, -15, -27, 9]","[49, 37, 17, -19, 42, -30, -31, -15]","[12, 36, 48, 30, -42, -36, -16, 13]","[-25, 6, -12, 49, -21, 39, 6, -1]","[-25, 6, -12, 49, -21, 5, 2, 36]"
2,0,-49.4,-119,"[20, 18, 8, 17, 42, -15, 1, 9]","[20, 37, 18, 28, 24, 28, -7, -50]","[20, -10, 46, 0, -7, -14, 25, 44]","[11, -10, 46, 0, -7, -14, 25, 44]","[20, 18, -27, 17, 38, -7, 0, 48]","[49, 37, -27, 17, 38, 34, 14, -42]","[49, 37, 17, -19, 38, 34, 14, -42]","[10, 8, 33, 10, 10, 0, -16, 13]","[11, 18, -27, 17, 38, 34, 14, -42]","[39, 17, 17, -19, 42, -15, -27, 9]"
3,0,-40.6,-89,"[20, 18, 8, 17, 42, -15, 1, 9]","[39, 17, 17, -19, 7, 0, 0, 48]","[20, 37, -2, -29, 22, -7, 0, 48]","[20, 18, 8, 17, -7, -14, 25, 44]","[49, 9, 8, 44, 1, -7, 0, 9]","[20, 37, -2, 17, 38, 34, 14, -42]","[49, 9, 8, 44, 42, -15, -27, 9]","[-30, -11, 33, 44, 38, 34, 14, -42]","[20, 37, 18, 28, 42, -30, -31, -15]","[44, -34, 37, -4, -4, 5, -27, 48]"
4,0,-28.9,-104,"[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 38, 28, 3, -29]","[20, 18, 8, 17, 9, 2, 25, 4]","[39, 17, 17, -19, 7, 0, 0, 44]","[20, 18, -27, 17, 38, 28, -10, 9]","[49, 37, 17, -19, 42, -15, -27, 9]","[20, 18, 17, -19, 7, 0, 0, 48]","[-3, -10, -27, 17, 38, 34, 25, 44]"
5,0,-32.45,-93,"[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 9, 2, 25, 4]","[20, 18, -27, 17, 38, 28, -10, 9]","[20, 37, 9, 28, 3, 3, 1, 9]","[20, 37, 8, 17, 42, -15, 1, 9]","[20, 8, 8, 3, 42, -15, 1, 9]","[39, 17, 17, -19, 7, 0, 1, 9]"
6,0,-17.15,-53,"[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 0, 9]","[20, 8, 8, 17, 9, 2, 25, 4]","[49, 37, 17, -19, 42, -15, -10, 9]"
7,0,-19.65,-82,"[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[8, 18, 8, 17, 42, 7, 1, 0]","[39, 17, 17, 28, 42, -30, -31, 9]","[49, 37, 17, -19, 42, -15, -10, 9]","[20, 18, 8, 17, 42, -15, -10, 9]","[8, 18, 8, 17, 42, -15, 1, 9]"
8,0,-26.6,-75,"[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[49, 37, 9, 2, 0, 0, 0, 9]","[8, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 3, 42, -15, 1, 9]","[3, 18, 9, 3, 42, 1, 7, 2]","[39, 17, 17, -19, 42, -15, -10, 9]","[20, 18, 18, 28, 42, -15, 1, 9]"
9,0,-27.05,-60,"[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[20, 18, 8, 17, 42, -15, 1, 9]","[39, 17, 17, -19, 42, 7, 1, 0]","[49, 37, 9, 2, 0, -15, 1, 9]","[39, 17, 17, -19, 42, -15, 1, 9]","[8, 18, 8, 17, 42, -15, 7, 2]","[20, 18, 8, 17, 42, 0, 0, 9]","[39, 17, 9, 3, 42, 1, 7, 2]","[3, 18, 9, 3, 42, 1, -10, 9]"
0,-6,-102.45,-238,"[-38, 30, -4, 41, -6, 17, 46, 20]","[49, -13, 50, -9, 8, -7, -8, 37]","[38, 47, 30, 9, 24, -18, -4, -18]","[5, -8, 1, 4, 47, 2, -10, 46]","[40, 31, -39, 34, 7, -17, 9, 17]","[35, 27, -17, -2, 33, 5, 48, 13]","[38, 15, -7, -46, -31, -2, 33, 45]","[39, 18, -35, 35, 48, -30, 9, -45]","[48, 35, -19, -9, -6, 33, -39, -34]","[-47, 17, -18, 9, 22, 47, 16, -39]"
1,-2,-83.0,-279,"[39, 18, -35, 35, -31, -2, 33, 45]","[-38, 30, -4, 41, -6, 17, 46, 20]","[40, 31, -17, 5, 1, 5, 48, 13]","[37, -41, -12, 4, 47, 2, -10, 46]","[39, 18, -35, 35, 48, -7, -8, 37]","[5, -8, 1, 4, 47, 2, 33, 45]","[39, 18, -35, 35, 48, 45, -18, 4]","[49, -13, 50, -9, -25, -5, 40, -26]","[4, 17, -18, 0, 22, 47, 16, -39]","[38, 47, 30, 9, 12, -49, -9, -44]"
