Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
1,-4,-62.9,-138,"[26, 1, 34, 6, -8, 34, -27, 30]","[13, 16, 36, 11, -11, 36, 6, -1]","[-12, 30, 36, 17, -5, 29, 28, -31]","[9, 20, 36, 12, -11, 37, 15, -9]","[2, 28, 37, 15, -13, 38, 32, -25]","[10, 29, 25, 42, 6, -33, 0, 4]","[20, 8, 1, 8, -9, 35, -11, 15]","[5, 9, 8, 35, 7, 3, -35, 28]","[19, 39, -38, 33, 22, -25, 11, -16]","[12, 43, -5, 9, -11, 25, -40, 6]"
2,-3,-40.4,-79,"[23, 4, 34, 7, -8, 34, -21, 24]","[26, 1, 34, 6, -8, 34, -27, 30]","[16, 13, 23, 10, -10, 36, 0, 5]","[12, 6, 36, 11, 6, 37, 9, -3]","[17, 11, 14, 9, -10, 35, -5, 9]","[11, 35, 10, 28, -1, 0, -17, 9]","[13, 32, 7, 39, 11, -31, 3, -2]","[19, 14, 0, 8, -9, 33, -16, 13]","[13, 9, 4, 9, -6, 31, -13, 12]","[11, 37, 8, 23, -4, 1, -23, 5]"
3,-3,-30.6,-52,"[23, 4, 34, 7, -8, 34, -21, 24]","[12, 14, 26, 10, 2, 34, -2, 0]","[24, 6, 22, 7, -8, 34, -23, 24]","[11, 36, 9, 24, -3, 1, 2, 5]","[15, 16, 12, 17, -3, 23, -3, 5]","[20, 10, 14, 17, 1, 16, -21, 20]","[18, 15, 5, 23, 6, 7, -18, 16]","[21, 9, 12, 7, -9, 33, -20, 19]","[12, 35, 3, 30, 3, -6, -11, 5]","[11, 36, 9, 27, -2, 0, -19, 8]"
4,-3,-28.3,-63,"[23, 4, 34, 7, -8, 34, -21, 24]","[12, 18, 23, 13, 1, 27, -1, 1]","[11, 32, 12, 21, -2, 8, 1, 4]","[12, 23, 16, 19, 2, 17, -6, 2]","[12, 26, 13, 21, 3, 11, -7, 3]","[17, 18, 13, 19, 0, 12, -14, 16]","[14, 28, 10, 22, -2, 5, -5, 9]","[13, 22, 16, 10, -3, 32, -13, 3]","[15, 16, 12, 17, -5, 23, -5, 6]","[12, 21, 16, 10, -2, 32, -13, 2]"
5,-3,-28.8,-57,"[23, 4, 34, 7, -8, 34, -21, 24]","[11, 31, 12, 20, -2, 10, 0, 4]","[12, 28, 14, 17, -2, 18, -5, 4]","[13, 23, 16, 11, -3, 30, -12, 3]","[12, 26, 14, 14, -3, 22, -7, 3]","[13, 23, 11, 21, 3, 11, -9, 6]","[16, 16, 14, 17, 0, 11, -13, 15]","[14, 20, 10, 21, 2, 12, -11, 8]","[15, 20, 9, 20, 2, 12, -12, 9]","[14, 27, 3, 25, 7, 1, 0, -2]"
6,-1,-20.15,-38,"[11, 31, 12, 20, 10, 10, 3, 4]","[23, 4, 34, 7, -8, 34, -21, 24]","[20, 12, 24, 13, -3, 23, -14, 15]","[13, 23, 6, 11, 2, 30, 1, 3]","[12, 28, 14, 17, -2, 17, -5, 4]","[12, 29, 11, 20, -1, 11, -2, 5]","[12, 27, 14, 17, -3, 18, -6, 4]","[17, 19, 13, 19, 2, 12, -7, 7]","[13, 24, 13, 16, -1, 19, -8, 5]","[13, 28, 8, 22, 0, 7, -3, 5]"
7,0,-17.15,-38,"[12, 28, 14, 19, 8, 12, 1, 6]","[11, 31, 12, 20, 10, 10, 3, 4]","[11, 30, 12, 20, 7, 10, 2, 4]","[19, 15, 22, 14, -1, 21, -12, 13]","[12, 27, 12, 20, 6, 12, -3, 5]","[12, 30, 11, 20, 2, 11, -1, 5]","[12, 26, 11, 19, 4, 13, -4, 5]","[18, 15, 19, 16, -1, 19, -13, 12]","[16, 21, 12, 20, 2, 11, -6, 7]","[16, 17, 16, 17, -1, 18, -12, 10]"
8,0,-14.45,-50,"[12, 28, 14, 19, 8, 12, 1, 6]","[12, 28, 14, 19, 7, 12, 1, 6]","[11, 31, 12, 20, 10, 10, 3, 4]","[11, 30, 12, 20, 7, 10, 2, 4]","[12, 29, 12, 20, 0, 10, 1, 7]","[19, 15, 22, 14, -1, 21, -12, 13]","[12, 28, 11, 19, 5, 12, -1, 5]","[11, 28, 12, 20, 6, 11, -1, 4]","[12, 27, 12, 20, 6, 12, -3, 5]","[14, 24, 12, 20, 4, 12, -4, 6]"
9,0,-10.2,-36,"[12, 28, 14, 19, 8, 12, 1, 6]","[12, 28, 14, 19, 7, 12, 1, 6]","[11, 31, 12, 20, 10, 10, 3, 4]","[13, 27, 15, 18, 6, 13, 0, 7]","[13, 27, 14, 19, 6, 12, 0, 6]","[13, 27, 13, 19, 7, 12, 0, 6]","[13, 25, 13, 20, 5, 12, -3, 6]","[12, 28, 11, 19, 5, 12, -1, 5]","[12, 27, 12, 20, 6, 12, -3, 5]","[12, 27, 12, 20, 6, 12, -3, 5]"
0,0,-75.55,-248,"[35, -14, 12, -22, 40, 2, 34, 13]","[-15, 45, 33, -19, -11, 15, 42, 21]","[-40, -14, 8, 46, 8, 26, 28, 23]","[5, 49, 9, 17, -35, -37, 39, 29]","[36, 11, 19, 14, -42, -19, 33, 17]","[50, -2, -5, -1, -22, 42, 22, -15]","[-20, -23, 42, 5, 32, 41, 12, -25]","[38, 22, 25, 17, -36, -47, 39, 5]","[46, -31, 20, -28, 39, 36, -19, -9]","[44, 49, 9, 26, -2, 26, 9, -9]"
1,0,-59.55,-149,"[35, -14, 12, -22, 40, 2, 34, 13]","[12, 13, 25, 16, 15, 33, 10, -17]","[12, 13, 26, 15, 15, 34, 11, -17]","[-21, 12, 8, 34, -10, 0, 33, 25]","[-14, 23, 9, 29, -17, -11, 34, 27]","[-9, -4, 12, 33, -12, 8, 30, 21]","[5, 1, 15, 27, -22, -1, 31, 19]","[29, 17, 11, 9, -27, -24, 25, 23]","[33, -9, 9, -21, 33, 12, -13, 8]","[18, 15, -5, -13, 27, -17, -6, 27]"
